In relational data model, an attribute is a column|False *
In SQL Server, we can use the ORDER BY clauses in sub-queries|FALSE
The maximum size of a Transact-SQL stored procedure is 256MB|true
Choose the correct statement|All of the above
Choose a right answer.|All of the others
Schema-altering commands are known as……commands.|Data Definition Language
Referential integrity Constraints control relationships between |tables in a database
Given the relation Employee(SSN. FNAME. LNAME. SALARY). Select the right query below to find the employee(s) who has the lowest salary in the company|WHERE SALARY IN (SELECT MIN(SALARY) FROM Employee)
Given a relation R(A.B.C.D). Which of the followings is trivial?|A->->BCD
Which of the following is NOT a standard aggregation operator?|GROUP
Select the well-formed XML|<Movie title="StarWar*><Year>1997</Year></Movie
Which of the fallowings is true?|The Entity Relationship (ER) model represents the structure of data graphically
In the three-tier architecture, the database tier's function is to|Execute queries that are requested from the application tier.
Choose a right answer|An authorization ID may be granted privileges from others or may grve its privileges to others
Which of the fallowings is part of data model?|All of the others |
Exception handler in PSM is defined as follows: DECLARE <where to go next> HANDLER FOR condition list> <statement> The <where to go next> clause can be:|All of the others
In SQL language, the command/statement that let you add an attribute to a relation is_|Alter
Choose the right statement|All of the others.
Consider the Dalalog rule H(xy) <- Sfx. y) AND x > 2 AND y < 6. Relation S(x y) has 3 tuples (2.3). (3.5). and (4.6). What is about H?|H has a tuple (3.5)
Select the valid query to declare the foreign key presC# of the relation Studiolname. address. presC#) that references the cert of the relation MovieExeclname. address. cert#. netWorth):|INT REFERENCES Movie Exec (cert#));
Choose the right statement|All of the others
The relational operator that yields all possible pairs of rows from two tables is known as a _|Product
Consider a relation with schema R(A, B, CD) and FD's BC-> D, D-> A, A-> B. Which of the following is the key of R?|BC
The ER Diagram uses three principle element types:|Entity sets. Attributes, and Relationships
In PSM. the difference between 3 stored procedure and a function is that|All of the others
Selecl Ihe right syntax for HAVING clause in SOL|<list of attributes>
Select the right answer.|All of the others
Given relations R(A.B) and S(B.C.D). The result of natural join of the relations R and S has|Attributes A B. C. D
Given relation U(A, B, C) that has 2 tuples (1,2,3) and (4,5,6), and relation V(B(C, D) that has 2 tuples (2,3,10) and (2,3,11). Choose the right answer below;|that has 3 tuples (1.2.3.10) .(1.2.3.11) and (4.5.6. NULL).
Data Definition language (DDL) is used to _|declare database schemas
The result of (UNKNOWN OR TRUE) is|true
In Java Database Connectivity (JDBC). before we can execute SQL statements), we need to |Establish a connection to the database and create statement(s).
Choose the right answer|All of the others
Choose a right answer|All of the others
Which of following is never used as a data model'|None of the others
Select the right answer|All of other
Select the right statement to declare MovieStar to be a relation whose tuples are of type StarType. Note; StarType is a user-defined type that has its definition as follows; CREATE TYPE StarType AS ( nameCHAR(30). address CHAR(IOO) };|CREATE TABLE MovieStar OF StarType Q;
Suppose an updatable view ParamountMovies is associated with Movies relation. Choose a right answer|Drop Movies relation also delete the view ParamountMovies
Which of the following statements is true?|4NF implies BCNF and BCNF implies 3NF
The binary relationship between classes in UML is called -|Association
Choose the right statement|All of the others
Which of the following statements is true?|All of the others|
Given the relation Movies(title, year, length, genre. studioName). Select the right query to create a View with the titles and studio names of all movies that were produced in 1980|AS SELECT title. studioName 
Given the relation Employee(SSN. FNAME. LNAME. SALARY. DepartmentNo). Select the right query below to count the number of employees in each department|(*) FROM Employee GROUP BY DepartmentNo
Consider a relation with schema R(A, B. C. D) and FD's A-> B. A-> C. C -> D. Which ofthe following is the {A}+ ?|{A B C D}
To create a constraint (for example, referential integrity constraint) on a relation, the owner ofthe schema must have|REFERENCES privilege
Choose a wrong answer.|Relational algebra can express recursion
In DTD. the main difference between PCDATA and CDATA is|PCDATA is text that will be parsed by 
_______authorizes access to database, coordinate, monitor its use, acquiring software, and hardware resources.|Database administrator 
The key for a weak entity set E is_|Zero or more attributes of and key attributes from supporting entity sets
Choose right answer(s).|All of orther
Choose the right statement|When the trigger is awakened, it tests a condition. If the condition is satisfied, the action associated with the trigger is executed
Four characteristics of transactions are|Atomicity. Isolation. Consistency. Durability
Select the right answer|All of orther
Choose the right statement to grant the INSERT and SELECT privileges on table Movies to users torn' and jerry'|jerry WITH GRANT OPTION
When declaring foreign key constraint for relation A thai references relation B. the referenced attribute(s) of the relation B must be declare as_______|UNIQUE or PRIMARY KEY
Choose an incorrect statement|None of the others
Select the right statement|All of the others
A class in UML is similar to___|An entity set in E/R model

A ____ is a logically coherent collection of data with some inherent meaning, representing some aspect of real world and being designed, built and populated with data for a specific purpose | Database
Choose the most correct statement | All of the others
Which of following is never used as a data model | None of the others
A ____ is a relation name, together with the attributes of that relation | schema
A ___ is a notation for describing the structure of the data in a database, along with the constraints on that data | data model
A _____ is a language for defining data structures | DDL
Which statement is used to remove a relation named R? | DROP TABLE R
What is another term for a row in a relational table | Tuple
Given a relation R(A,B,C,D). Which of the followings is trivial | A->->BCD
Let R(ABCD) be a relation with functional dependencies {A -> B | AC
Suppose R is a relation with attributes A1, A2, A3, A4. The only key of R is {A1, A2}. So, how many super-keys do R have? | 4
Consider the following functional dependencies | R is in First Normal Form
The relation R(ABCD) has following FDs: { A -> B ; B -> A ; A -> D ; D -> B } | R is in 3NF
Given a R(A,B,C,D) with the following FDs: AB->D, BC->A, AD->B , CD->B ,AD->C | The FD set of R is not canonical and R is in BCNF
What is the difference between the 2NF and the 3NF? | 2NF deals with partial functional dependency, while 3NF deals with transitive functional dependency
What is "de-normalization"? | De-normalization means allowing duplicate columns appeared in a table
What is the benefit of "de-normalization"? | The main benefit of de-normalization is improved performance with simplified data retrieval (this is done by reduction in the number of joins needed for data processing)
The key for a weak entity set E is | Zero or more attributes of E and key attributes from supporting entity sets
A class in UML is similar to | An entity set in E/R model
A(n) _____ provides a means to analyze business requirements so as to standardize organizational vocabulary, enforce business rules, and ensure adequate data quality | All of the others
An association class in UML is similar to ______ in the ER model | attributes on a relationship
In UML, what is the difference between an aggregation and a composition? | In composition, when the owning object is destroyed, so are the contained objects. In aggregation, this is not necessarily true
Which of the following is NOT a standard aggregation operator? | GROUP
Consider the law, that holds for set relations: T intersect(R union S) = (T intersect R) union (T intersect S) | False
Choose the correct statement | Aggregate functions perform a calculation on a set of values and return a single value
Compute the result of the following query: SELECT SUM(D) | 6
Compute the result of the following query: SELECT D, SUM(C) | (9,16)
Column A of a relation has the following list of values in the six rows of the table: NULL, NULL, 10, 10, 20, 30 | 20
The table Arc(x,y) currently has the following tuples (note that there are duplicates): (1,2), (1,2), (2,3), (3,4), (3,4), (4,1), (4,1), (4,1), (4,2). Compute the result of the query: | (3,1,2)
How we can understand about this statement: "All aggregate functions are deterministic"? | This means aggregate functions return the same value any time they are called by using a specific set of input values
When we apply set operators (UNION, INTERSECT, EXCEPT) to two relations R and S, which conditions on R and S must be satisfied | All of the others
How many JOIN conditions are necessary to combine five tables based on common attributes? | 4
Suppose relation R(A,B) has the tuples and the relation S(B,C,D) has tuples Compute the right outer join of R and S, where the condition is: R.B = S.B Then identify 2 tuples of R that do not appear in the computed result | (30,y) , (70,t)
For what values of x, y, and z, including NULL, does the Boolean expression x <= 4 OR NOT(y >= 2 AND z = 10) | x = 5, y = 3, z = 10
What operator tests column for the absence of data? | IS NULL operator
What does NULL mean? | The value NULL means UNKNOWN
What is the value of the query: SELECT 'Nancy' + NULL + 'Smith' when evaluated on Microsoft SQL Server? | NULL
Which SQL keyword is used to sort the result-set? | ORDER BY
Three properties of a lock in DBMS are : Granularity: a)Granularity: the size of the lock, b) Granularity: the type of the lock, c) Mode: the type of the lock, d) Duration: the time in seconds that the DBMS waits for a lock to be | (a) and (c) and (d) are true
A database transaction, by definition, must be ACID (atomic, consistent, isolated and durable). What does "Durable" mean? | "Durable" means that: Transactions that have committed will survive permanently
Suppose relation R(A,B). Choose the SQL statement that is equivalent to the following RA expression | SELECT (A+B) AS C, FROM R, WHERE (A+B) > 10
What is the difference between the WHERE and HAVING SQL clauses? | The WHERE SQL clause condition(s) is applied to all rows in the result set
Choose the correct statement : " You can remove a trigger by dropping it or by dropping the trigger table " | All of the others
Suppose R and S are 2 relations. R is the parent of S. And the relationship between R and S is set to "ON DELETE CASCADE" | We can delete a row from R although that row has children in S (and in this case, all the children will be deleted too)
To create a DEFAULT constraint on the "City" column of the table PERSON which is already created, use the following SQL: | ALTER TABLE Person ALTER COLUMN City SET DEFAULT 'SANDNES'
Three basic types of database integrity constraints are: a)Entity integrity, (b) Domain integrity, (c) Referential integrity, d) Primary key integrity | (a) and (b) and (c) are true
A(an) _____ asserts that a value appearing in one relation must also appear in the primary-key component(s) of another relation | Foreign key constraint
What is difference between PRIMARY KEY and UNIQUE KEY | A table can have more than one UNIQUE KEY constraint but only one PRIMARY KEY
A/An _____ is a data structure that makes it efficient to find those tuples that have a fixed value for an attribute | Index
Select the most correct answer An index is a data structure used to speed access to tuples of a relation, given values of one or more attributes | All of the others.___ allow the database application to find data fast, without reading the whole table | Indexes
What are the drawbacks of indexes? | (a)Indexes require more disk space, (b) Indexes make UPDATE, INSERT, DELETE statement slower
Well-designed ____ can reduce disk I/O operations and consume fewer system resources therefore improving query performance | Indexes
Which of the following statements is the most correct Using Stored procedures reduces network traffic | All of the others
The benefits of stored procedures are: | a)They improve the security by letting the admin to LIMIT the access rights of users, c) They can be reused many times
Select the right statement to declare MovieStar to be a relation whose tuples are of type StarType. Note: StarType is a user-defined type that has its definition as | CREATE TABLE MovieStar OF StarType ();
A ____ table is a table that is embedded within another table | Nested
A database of _____ data model is a collection of nodes, each node is either a leaf or interior | semi-structured
Select the well-formed XML | <? xml version = "1.0" ?> , <MovieData>
A _____ specifies which characters are "less than" which other characters | Collation
A ____ is a powerful tool for creating and managing large amounts of data efficiently and allowing it to persist over long periods of time, safely | DBMS
Choose the most correct statement: Database is created and maintained by a DMBS | All of the others
What is the hierarchical data model | A hierarchical data model is a data model in which the data is organized into a tree-like structure
In _____ Data Model, the data and relations between them are organized in tables | Relational
Why the intersection operator is not called a primitive relational algebra operator? | Because the intersection operator can be expressed through the union operator and the difference operator
In SQL , the command/statement that let you add an attribute to a relation schema is | Alter
To update a relation's schema, which one of the following statements can be used? | ALTER TABLE
Schema-altering commands are known as _________ commands | Data Definition Language
Which one of the following is NOT a DML command? | ALTER TABLE
What is a functional dependency | A functional dependency (A->B) occurs when the attribute A uniquely determines B
Suppose R is a relation with attributes A1, A2, A3, A4 The only key of R is {A1, A2}. So, how many super-keys do R have? | 4
What is a key attribute in a relation? | A key attribute is an attribute that belongs to one of the keys of the relation
Which of the following relations is in Boyce-Codd Normal Form (BCNF)? | R(ABCD) with FD's: BD -> C ; AB -> D ; AC -> B ; BD -> A
3NFconcept is related to (choose 1 answer only): | All of the others
The relation R(ABCD) has following FDs {ACD -> B ; AC -> D ;D -> C ; AC -> B} | R is in 3NF
Let R(A,B,C,D) with the following FDs: {AB->C, AC->B, AD->C} | R is in 2NF
Which of the following statements is correct | For any relation schema, there is a dependency-preserving decomposition into 3NF
Which of the following statements is true BCNF condition guarantees the non existence of the anomalies | In BCNF condition, the left side of every non trivial FD must be a super key
How to eliminate anomalies when we design a database | We should decompose relation to eliminate anomalies
What is the goal of decomposition when designing a database | The goal of decomposition is to replace a relation by several relations that do not exhibit anomalies
In UML, what is the difference between an aggregation and a composition | In composition, when the owning object is destroyed, so are the contained objects. In aggregation, this is not necessarily true.
Consider the following statement:"Entity Sets and their attributes should reflect the reality" | Faithfulness principle
Look at the following statements:a)We should pick the right kind of elements (b) When an entity has no non-primary key attribute, we should convert that (c) Use weak entities when-ever possible (d) Always make redundancies | (a) and (b) are correct
The ER Diagram uses three principle element types | Entity sets, Attributes, and Relationships
The binary relationship between classes in UML is called | Association
Consider the Datalog rule H(x,y) <- S(x, y) AND x > 2 AND y < 6. Relation S(x, y) has 3 tuples (2, 3), (3, 5), and (4, 6). What is about H | H has a tuple (3, 5)
Consider the law, that holds for set relations (S intersect T) - R = S intersect (T - R). | False
Suppose that tuple t appears, respectively, x, y, and z times in the relations X, Y, and Z. Let t appear w times in the relation X union (Y intersect Z) | w <= x+y
The table Arc(x,y) currently has the following tuples (note there are duplicates): SELECT x, COUNT(y) | (4,4)
Given the relation Employee(SSN, FNAME, LNAME, SALARY DepartmentNo). Select the right query below to count the number of employees in each department | SELECT DepartmentNo, COUNT(*) FROM Employee GROUP BY DepartmentNo
When we apply set operators (UNION, INTERSECT, EXCEPT) to two relations R and S, which conditions on R and S must be satisfied? | All of the others
Here are two relations, R(A,B), S(C,D). Their current values are: FROM R RIGHT OUTER JOIN S ON R.A = S.C | (null, null, 0, 1), (null, null, 5, 8)
FROM R LEFT OUTER JOIN S | (4, 7, null, null)
A tuple which fails to participate in a join is called: | dangling tuple
(TRUE OR NULL) return | TRUE
Choose one correct statement: Two null values are equal | Comparisons between two null values, or between a NULL and any other value, return unknown
For what values of x, y, and z, including NULL, does the Boolean expression x <= 100 AND NOT(y >= 15 OR z = 35)have the truth value UNKNOWN? Identify one of those values from the list | x = NULL, y = 0, z = 4.
Choose one correct statement No two null values are equal | No two null values are equal
A database transaction, by definition, must be ACID (atomic, consistent, isolated and durable). What does "Isolated" mean? | "Isolated" means that: how/when the changes made by one operation in one transaction become visible to other concurrent operations in other transactions
What one is a wildcard used for pattern matching? | "%" (for multi-character substitution)
Choose the most correct statement about PRIMARY KEY : The PRIMARY KEY constraint uniquely identifies each record in a database | All of the others
Foreign key constraints are created by using "_____" keyword to refer to the primary key of another table | REFERENCES
A database ____ is a data structure that improves the speed of data retrieval operations on a database table at the cost of slower writing and increased storage space | Index
The most useful index on a relation is an index on its key. This is because | The search operation based on the primary key is commonly used
The SQL operations that are performed while a connection is active form a | Session
In PSM, the difference between a stored procedure and a function is that | A function has the return statement
The aim for the Object-relational database is to bridge the gap between conceptual data modelling techniques such as Entity-relationship diagram | True
Choose the correct statement: A User-Defined Type (UDT) in SQL can be the type of a table | All of the others
______ is a set of markup declarations that define a document type for SGML- family markup languages (SGML, XML, HTML) | Document Type Definition
A ____ document defines the XML document structure with a list of legal elements and attributes | DTD
A ____ is the framework under which data may exist and SQL operations on data may be executed | SQL Environment
is a powerful tool for creating and managing large amounts of data efficiently and allowing it to persist over long periods of time, safely | DBMS
Database is a collection of information that exists over a long period of time | All of the others
What is the hierarchical data model | organized into a tree-like structure
Data Model, the data and relations between them are organized in tables | Relational
Why the intersection operator is not called a primitive relational algebra operator? | through the union operator and the difference operator
the command/statement that let you add an attribute to a relation | Alter
Schema-altering commands are known as | Definition Language
is a notation for describing the structure of the data in a database, along with the constraints on that data | data model
Which one of the following is NOT a DML command | ALTER TABLE
What is a functional dependency | attribute A uniquely determines B
Suppose R is a relation with attributes A1, A2, A3, A4 | 4
What is a key attribute in a relation | A key attribute is an attribute that belongs to one of the keys of the relation
Which of the following relations is in Boyce-Codd Normal Form (BCNF) | FD's: BD
3NFconcept is related to (choose 1 answer only) | All of the others
The relation R(ABCD) has following FDs | R is in 3NF
Which of the following statements is correct | dap an
In BCNF condition, the left side of every non trivial FD must be a super key | All of the
How to eliminate anomalies when we design a database | We should decompose
What is the goal of decomposition when designing a database | decomposition is to replace
In UML, what is the difference between an aggregation and a composition | In composition
Entity Sets and their attributes should reflect the reality | Faithfulness
When an entity has no non-primary key attribute, we should convert that entity to an attribute | 1.we should 2. when an
The ER Diagram uses three principle element types | Constraints
The binary relationship between classes in UML is called | Association
has 3 tuples (2, 3), (3, 5), and (4, 6). What is about H | H has a tuple (3, 5)
S intersect T) - R = S intersect (T - R | False
respectively, x, y, and z times in the relations X, Y, and Z | w <= x+y
T intersect(R union S) = (T intersect R) union (T intersect S) | False
Suppose the relation S(B,C,D) has tuples | 6
The table Arc(x,y) currently has the following tuples | (4,4)
Which one of the followings will appear in the result of the following querys | (c,18)
SSN, FNAME, LNAME, SALARY, DepartmentNo | DepartmentNo, COUNT(*) FROM Employee GROUP BY
What row that appears in the result of the following query | (10,14)
When we apply set operators (UNION, INTERSECT, EXCEPT) to two relations R and S | All of the others
FROM R RIGHT OUTER JOIN S | (null, null, 0, 1) (null, null, 5, 8)
A tuple which fails to participate in a join is called | dangling tuple
Comparisons between two null values, or between a NULL and any other value, return unknown | dap an
x <= 100 AND NOT(y >= 15 OR z = 35) | x = NULL, y = 0, z = 4.
Comparisons between two null values, or between a NULL and any other value, return FALSE | No two null values are equal
What does "Isolated" mean | how/when
What one is a wildcard used for pattern matching | % for multi-character substitution
SELECT SUM(B) FROM R WHERE C > 10 | NULL
Choose the most correct statement about PRIMARY KEY | All of the others
Foreign key constraints are created by using | REFERENCES
is a data structure that improves the speed of data retrieval operations on a database table at the cost of slower writing and increased storage space | Index
The most useful index on a relation is an index on its key. This is because | The search operation
The SQL operations that are performed while a connection is active form a | Session
The aim for the Object-relational database is to bridge the gap between conceptual data modelling techniques such as Entity-relationship | True
The form of UDT definition is: CREATE TYPE T AS (<primitive type | attribute declarations>) | All of the others
is a set of markup declarations that define a document type for SGML-family markup languages (SGML, XML, HTML) | Type Definition
document defines the XML document structure with a list of legal elements and attributes | DTD
specifies which characters are "less than" which other characters | Collation
is the framework under which data may exist and SQL operations on data may be executed | Environment
is a logically coherent collection of data with some inherent meaning, representing some aspect of real world and being designed, built and populated with data for a specific purpose | Database
Which of following is never used as a data model | none
is a relation name, together with the attributes of that relation | scheme
Which statement is used to remove a relation named R | DROP TABLE R;
Let R(ABCD) be a relation with functional dependencies | AC
Which of the following best describes the relation R(e,f,g,h,i,j) | R is in First Normal Form
Given a R(A,B,C,D) with the following FDs | The FD set of R is not canonical and R is in BCNF
What is the difference between the 2NF and the 3NF | 2NF deals with partial
What is "de-normalization" | "de-normalization" has no benefit
The key for a weak entity set E is | dai nhat
provides a means to analyze business requirements so as to standardize organizational vocabulary, enforce business rules, and ensure adequate data quality | Entity Relationship Diagram
An association class in UML is similar to | attributes on a relationship
Which of the following is NOT a standard aggregation operator | GROUP
Aggregate functions perform a calculation on a set of values and return a single value | dap an
Choose the row that appears in the computed result | 6
Choose rows that are appear in the computed result | (9,16)
NULL, NULL, 10, 10, 20, 30 | 20
(1,2), (1,2), (2,3), (3,4), (3,4), (4,1), (4,1), (4,1), (4,2) | (3,1,2)
All aggregate functions are deterministic | same value any time they are called by using a specific set of input values
(UNION, INTERSECT, EXCEPT) | All of the others
How many JOIN conditions are necessary to combine five tables based on common attributes | 4
Compute the right outer join of R and S, where the condition is: R.B = S.B | (30,y) va (70,t)
x <= 4 OR NOT(y >= 2 AND z = 10) | x = 5, y = 3, z = 10
What operator tests column for the absence of data | IS NULL operator
What does NULL mean? | The value NULL means UNKNOWN
SELECT 'Nancy' + NULL + 'Smith' | NULL
Which SQL keyword is used to sort the result-set | ORDER BY
Three properties of a lock in DBMS are | ----- mode fail
A database transaction, by definition, must be ACID (atomic, consistent, isolated and durable). | : Transactions that have committed will survive permanently
Choose the SQL statement that is equivalent to the following RA expression | SELECT (A+B) AS C FROM R
What is the difference between the WHERE and HAVING SQL clauses? | The WHERE SQL
You can remove a trigger by dropping it or by dropping the trigger table. | all
ON DELETE CASCADE | from R although that row
To create a DEFAULT constraint on the "City" column of the table PERSON | ALTER ALTER
Three basic types of database integrity constraints are | ----- primary
asserts that a value appearing in one relation must also appear in the primary-key component(s) of another relation | Foreign key constraint
What is difference between PRIMARY KEY and UNIQUE KEY ? | A table can have more than one UNIQUE KEY
is a data structure that makes it efficient to find those tuples that have a fixed value for an attribute | Index
An index is a data structure used to speed access to tuples of a relation, given values of one or more attributes | all
allow the database application to find data fast, without reading the whole table | Indexes
What are the drawbacks of indexes | 1.riquere 2. make update
can reduce disk I/O operations and consume fewer system resources therefore improving query performance | Indexes
Using Stored procedures reduces network traffic | All of the others
The benefits of stored procedures are | 1.improve 2.can be reused
Select the right statement to declare MovieStar to be a relation whose tuples are | CREATE TABLE MovieStar OF StarType ();
table is a table that is embedded within another table | Nested
data model is a collection of nodes, each node is either a leaf or interior | semi-structured
Select the well-formed XML | yeah-movie-moviedata
DBMS is a collection of .............. that enables user to create and maintain a database. | Program
In a relational schema, each tuple is divided into fields called | Domains
In an ER model, ................ is described in the database by storing its data. | Entity
DFD stands for | Data Flow Diagram
A top-to-bottom relationship among the items in a database is established by a | Hierarchical schema
.................. table store information about database or about the system. | System
..............defines the structure of a relation which consists of a fixed set of attribute-domain pairs. | Schema
.................. clause is an additional filter that is applied to the result. | Having
A logical schema | is a standard .. accessible parts.
..................... is a full form of SQL. | Structured query language
A relational database developer refers to a record as | a tuple
.......... keyword is used to find the number of values in a column. | COUNT
An advantage of the database management approach is | data is integrated and can be accessed by multiple programs
The collection of information stored in a database at a particular moment is called as ... | instance of the database
Data independence means | (2ans) programs are not dependent on the physical (logical) attributes of data
A ......... is used to define overall design of the database | schema
Key to represent relationship between tables is called | foreign key
Grant and revoke are ....... statements. | DCL
DBMS helps achieve | Data independence, Centralized control of data
