What is NOT true about Fundamentals of software process improvement | Software process improvement is not necessary because it makes software development cost more
Which is the generic template for a requirement written from the system's perspective? | [optional precondition] [optional trigger event]
Customers have the responsibility to: | 1, 2, 4
Which of the following is most true about a non-functional requirement? | is highly sensitive to the system architecture
Which analysis model you should use when the customers present their requirements using Conditional? | Which analysis model you should use when the customers present their requirements using Conditional?
Which is not a reuse success factor? | National culture
Which is the most appropriate way when you want to resolve the disagreement requirement | Segment with greatest impact on business success gets preference
Which of the following property is least critical to the interaction between process actors and the requirements process? | the education of the actor
Which is the correct definition of the term business rule based on the information system perspective? | It is intended to assert business
What types of process assets are correct about requirements engineering process assets? | Template, Cost Evaluating
The following statements are true or false? Anywhere there are functions. there is data. Software functionality is specified to create | False
What sentence is correct? A Both others are true | Both others are true
Which template fit with the example requirement written based on the user's perspective? | The [user class or actor name] shall be able to
When to use notation TBD (to be determined) in software requirements specification? | When you dealing with incompleteness requirements
If requirements are easily understandable and defined then which model is best suited? | Waterfall model
What is NOT true about motivations for tracing requirements? | Managing Project
Which of the following is the CORRECT definition of the term Feature? | One or more logically related system capabilities that provide value to a user and are
What Is not included in Requirement Statuses? | Not Need
Which is NOT a basic skill of a Business Analyst? | . Document requirements
Product requirement validation occurs primarily after | Elicitation
Which is a good place to start specifying data requirements in the new software system you want to develop? | with the input and output flows on the systems context diagram
Major requirements management activities include | 1.2.4.5
Without customer contact the expectation gap __ during software development time | increases
Which of the following is the CORRECT definition of the term User Requirement? | A goal or task that specific classes of users must
Which ts the most appropriate way to improve the ambiguous terms | Specify the minimum acceptable time in which the
Which of the following is not a good characteristic well written of a software requirements specification? | Redundant

Which dimension of requirement classification is critical for consideration of tolerant design? | Whether the requirement is volatile or stable.
Giving an example of quality requirements: 'After performing a f‌ile backup, the system shall verify | Integrity requirement
Which of the following is NOT a type of software requirement? | Complexity
What is a software requirements specification (SRS) document? | A document detailing software requirements and specifications
Which technique overlaps for use in requirements elicitation and requirements validation? | Prototypes
What presents the information and preconditions necessary for a business analysis task to begin? | Input
What is considered the traditional means or requirements elicitation? | Interviews
The use of traceability tables helps to: | Minimize miscommunication and unnecessary rework
Portability is an internal quality attribute which could be described: | How easily the system can be made to work in other operating environments
Giving a business rule" All website images must include alternative text to be used by electronic | constraint
Giving a business rule " If the customer ordered a book by an author who has written multiple | action enabler
When does the business analyst ensure the feasibility of the proposed requirements to | During Requirements Analysis
Which document is used to derive the software requirements specification? | System Requirements Specification
Process quality and improvement relies most on which of the following? | Requirements process measures
Which requirements should NOT be reused in the scope of cross an enterprise? | Constraints
You are a business analyst measuring alternatives against objectives and identifying trade offs to | Problem solving
What should the software requirements specification (SRS) writer avoid placing in the SRS environment of the SRS? | Either design or project requirements
A key tool for software designer, developer and their test team is to carry out their respective tasks | Requirement documentation
The work products produced during requirement elicitation will vary depending on the _ | size of the product being built
To express the user task descriptions. which representation technique is NOT suitable? | Storyboards
What is the most common type of scenario elicitation technique? | The use case
What is a software engineer most likely to resolve by making a unilateral decision? | Differences between developer perception
Which of the following is not embedded design that would be written in the SRS? | Specify logical requirements for the software
Identify key roles and selecting requirements activities is done as part of which knowledge area? | Business Analysis Planning and Monitoring
Requirement elicitation is communication intensive and should be aligned with: | The stakeholders needs and constraints
Why is base-lining project? | To get an agreement for each set of requirements after the team implements them
If requirements are easily understandable and def‌ined then which software process model is best suited? | Waterfall model
Which is NOT the type of internal quality? | Availability
Which is (are) the skills of business analyst on Agile project? | All of the mentioned
Which of the following is NOT a good characteristic well written of a software requirements specification? | Redundant
Giving a statement in an Airport check-in kiosk application: "As a traveler. I want to check in for a | user story
Which is NOT the reuse barrier? | Organizational culture
According to the SWEBOK Guide, what are the four major activities of the requirements engineering process? | Elicitation, analysis, specification, and validation
Which is NOT the type of requirements development tools? | Requirement Management tools
Why is Requirements Management important? It is due to the changes | All of the mentioned
which of the following you should be based on when you estimate the project size and effort | All of the mentioned answers
Which are the processes in requirements engineering? | All of the mentioned
Which is NOT the most important characteristics of product backlog | Lowest ranking items are decomposed into smaller stories during release
Which is NOT the advantage of Agile methods? | puts considerable effort into trying to get the full
In the IEEE Std 1362 Concept of Operations (ConOps) Document, which of the following is | Proposed design method of system
If a requirements status is proposed then it | Has been requested by an authorized source
A throwaway prototype is most appropriate when: | . All of the mentioned
What is the most important attribute of a requirement? | Identifier
The requirements engineering process is _ | Initiated at the beginning of a project and continues to be
Which adverbs are the causes of requirements ambiguity in documenting Software Requirement Specif‌ication? | all of the mentioned
Which of these steps in the planned change process provides the objective or expectation of how a change will respond to whatever | develop change goals
Which of these steps in the planned change process provides a roadmap for how the change will be implemented? | develop the change plan
Due to the iterative nature of the requirements process, change has to be managed through the review and approval process. | System def‌inition
Which of the following phrases most closely approaches verifiable language? | "According to Standard X"
Requirements reviews: Can not be done before completion of the | Systems definition document
Requirement Baselines are | .Requirements committed to be implemented
Which of the following requirement properties would be considered an emergent property of a software program? | The reliability of the software
Which is not describe the correct purpose of requirements elicitation? | Collect, discover, extract, and define exactly what are the outputs of project
What does allocation try to satisfy in the assigning of responsibility to components? | Requirements
What defines the business analysis team roles, deliverable to be produced, and tasks to be performed? | Business analysis approach
Software requirements validation should be viewed by whom and how often? | Stakeholders, often
Product requirement validation occurs primarily after | Specif‌ication
The BEST way to conduct a requirements validation review is to | use a checklist of questions to examine each requirement
Which of the following property is least critical to the interaction between process actors and the requirements process? | The education of the actor
Which is NOT a technique to f‌ind missing requirements? | Check a list of tasks corresponding with end users
Requirements gathering activities are also known as requirements: | Elicitation
In order to determine solution to business problems, the business analyst applies a set of: | Tasks and techniques
The software requirements specif‌ication should NOT be called | user requirements
Giving a business rule "A discount is calculated based on the size of the current order, as defined in Table BR-060.' | computation
Which of the following is the technical manager not responsible for? | Re-estimating the cost and schedule of the project when the requirements change.
The voice of the customers may be derived from | Customer complaints
To understand user tasks and goals and the business objectives with which those tasks align, | Elicitation
To depict the complex logic, which representation technique should be used? | Decision tree , Decision table
The requirement passed its tests after integration into the product. this is status | verified
Which requirements should NOT be reused within an operating environment or platform? | Stakeholder profiles
Which is NOT the helpful of product backlog? | It helps in managing the demands of stakeholders
The business analyst team has put together the elicitation results documenting their understanding of the user need. | Stated and Unconfirmed
Which is the benefit of the reuse requirements techniques? | All the mentioned answers
Which is not the purpose of software prototype technique? | Specific technologies, tools, languages, and databases that must be used or avoided (constraints)
Which is NOT belong to the case of use case traps? | Depicts detail the use case story
Classifying users should not base on: | The knowledge user have
Software Requirement Specification (SRS) is also known as specification of | Black box testing
In the V model, the user requirements are detected by | Acceptance testing (User/Business requirement)
Which of the following is most true about a non-functional requirement? | . Acts to constrain the software solution
The system users have stated their needs for revised online order entry system capabilities | Functional requirements
As requirements are elicited. what source is most likely to impose previously unidentified user processes? | The organizational environment
A concept of operations document (ConOps) should not be written | Primarily in the developers technical language
Giving a condition example in specification of withdrawn money use case: "the ATM has dispensed money and printed a receipt'. | postcondition
Which activities are NOT belong to requirements status tracking? | Tracking individual requirements versions
A listed acceptance criteria to fulfil certain requirements of a user and normally written from the perspective of an end-user. | user story
Which of these steps in the planned change process puts the change plan into action? | implement the change
During which of these steps in the planned change process is used to determine how ready | select the change agent
Which of these steps in the planned change process requires managers at all levels to be | recognize the need for change
What is a best practice for change control? | Hold change meetings
Requirements tracing is most likely concerned with the following: Recovering the source of requirements from: | Software requirement back to the system
Which of the following would most likely be considered a product requirement? | The student name shall be entered before the student grade.
Which is (are) the type of Agile method? | Feature-Driven Development
Which is (are) the type of Agile method? | Kanban , Extreme Programming
Which is (are) the type of Agile method? | Lean Software Development  , Scrum
The iterations in Agile method should be | one month  , one week
What is not the essential aspects of an agile approach to requirements? | Budget change
is a comparison of functionality between an existing system and a desired new system. | Gap analysis
Which are the most common challenges with packaged solutions? | Vendor misrepresents package capabilities Users reject the solution
Which are the most common challenges with packaged solutions? | Language and cultural barriers
Which are the most common challenges with packaged solutions? | Incorrect solution expectations
Which are the most common challenges with packaged solutions? | Too many candidates
Which are the challenges that outsourced projects have to face: | . Language and cultural barriers
Which are the challenges that outsourced projects have to face: | Remote developers lack the organizational and business knowledge
Which are the challenges that outsourced projects have to face: | Large time zone differences
Which are the challenges that outsourced projects have to face: | It's harder to get developer input on requirements and to pass along user feedback on delivered software to developers.
Updating sets of requirements is an activity of | . change control
The requirement will be implemented in a future release, this is _______status | deferred
Managing requirements changes is difficult because | document-centric process
Managing requirements changes is difficult because | difficult to understand the impact
Managing requirements changes is difficult because | lack of visibility
Managing requirements changes is difficult because | high reliance on a single person
The requirements change management determines | who does not need to be involved
The requirements change management determines | process for requirements change
The requirements change management determines | who will be consulted or informed of change
The requirements change management determines | which stakeholders need to approve change
The change management board has a scope of authority that indicates | . approve or deny
What happens to a rejected change request? | It stops
The Change Control Board will have a | chairperson
Defining links between individual functional and nonfunctional | forward from requirements
Customer needs are traced | . backward to requirements
Requirements tracing is most likely concerned with the following | Software requirement back to the system requirement it supports
Which is(are) the limitations of a document-based approach in developing | It's hard to define links between requirements and other system elements
Which is(are) the limitations of a document-based approach in developing | . It's not easy to store supplementary information—attributes—about each
Which is(are) the limitations of a document-based approach in developing | Communicating changes to all affected team members is a manual
Which is(are) the limitations of a document-based approach in developing | . It's difficult to keep the documents current and synchronized.
Which is (are) the essential Agile techniques to improve traditional requirements | compliment user stories with supporting artifacts
Which is (are) the essential Agile techniques to improve traditional requirements | groom your User Stories often
Which is (are) the essential Agile techniques to improve traditional requirements | create requirements that slice the cake
Which is (are) the essential Agile techniques to improve traditional requirements | invest in your User Stories
all of the following actions, the review board need to do when reviewing changes of requirement except | maintains a wishlist of possible changes
there are the following backwards of prototypes and mock-up technique, except for | can not understand implications
what should we do in the stakeholder analysis stage of re | determine..based their role, interest..
a systematic process of managing conflicts has the stages.. | identify,detect conflict,generate,evaluate
which one of the following statements about package is false | the name of elements defined in a package are local to the
the domain understanding and requirements elicitation stage involves a great deal of knowledge acquisition, except | knowledge about programming language
which of the following is not a criterion of stake holder selection | exposure to perceived technical issues
all of the following statements about advantages of free documentation in unrestricted natural language are correct, except | there is no notable ambiguities, noise
which of the following is a standard technique for structuring complex if-then condition | using decision table
at higher levels, there are coarser-grained goals stating | strategic objectives
when we are unfamiliar with the system-as-is, we may need.. except | studying document and reports of system-to-be
is a prescriptive statement to be enforced by the software-to-be, possibly in cooperation with other system components, and formulated in terms of environment phenomena | system requirement
all of the following statements about local rules on writing statements in requirements document are correct except | make sure that every concept is defined after its use
all of the following statements about outputs of requirement specification and documentation phase are correct except | all general objectives, system requirements, software requirement...
all of the following activities should not be done in "change initiation" stage of change control process except | maintain a wishlist of possible changes...
all of the following statements about background study techniques are correct except | an obvious strength of the technique is that..
Requirement engineering is the first phase in software lifecycle? | TRUE
Software quality assurance is a key concern for Requirement quality assurance | FALSE
RE deliverable is requirements document for system-to-be | TRUE
RE is concerned with world and machine phenomena | TRUE
Why do we need models for RE? | Provides structure ...,Support for ..., explanation to ...,Basis for ...,Focus on ...
Which of following belong to System requirement statements? | Prescriptive statement referring to environment phenomena
What is requirement engineering? | Set of activities producing the requirements on a software-intensive system
Which of the followings belong Assumption statements? | Statements to be satisfied by the environment of the software-to-be
To make sure a software solution “correctly” solves some real-world problem, we must first fully understand and define | The context in which the problem arises, What problem needs to be solved in the real world
Which of the followings statements belong to WHO dimension? | Assign responsibilities for the objective, services, and constraints among system-to-be components
Which of the following statements belong to WHAT dimension | Identify& define the system-to-be’s functional services
Which of the following statements belong to WHY dimension? | Identify, analyze, refine the system-to-be’s objectives
Which of the following belong to scope of RE? | WHO,WHY,WHAT dimension
What are the activities producing the requirements on a software-intensive system? | Elicitation, Specification, Evaluation, Evolution management
The prototype process is iterative | TRUE
In active mode of storyboard, stakeholders contribute to the story. The storyboard is used for joint exploration | TRUE
In passive mode of storyboard, stakeholders contribute to the story. The storyboard is used for explanation validation | TRUE
Artifact-driven techniques rely more on specific types of interaction with stakeholders | FALSE
All of the following actions belong to Domain understanding and Requirement elicitation expect | Understand the system-to-be and its context
Which of the following techniques belongs to stakeholder-driven elicitation techniques? | Observation and ethnographic studies, Group sessions, Interviews
According to performance requirements classes in a reusable catalogue, which of following belong to Time? | Response time, Throughput
According to performance requirements classes in a reusable catalogue, which of following belong to Space? | Main memory, Secondary storage
Which of the following statements about weighing questions is true? | A weighting question provides a list of statements that need to be weighted by the respondent to express the perceived importance, preference or risk of the corresponding statement.
What is the first phase of RE process? | Domain understanding and elicitation
What is the goal of Prototypes & mock-up? | Check requirement adequacy from direct user feedback, by showing reduced sketch of software-to-be in action
Which of the following statements about Software Prototypes are true? | (1)Its aim ...,(2)It is a quick implementation ...,(3)/There are different kind ...
What is the goal of Card sorts & repertory grids? | Acquire further into about concepts already elicited
We need to acquire the contextual knowledge under which the system-to-be will be elaborated. This … | Knowledge about the system-as-is, Knowledge about the organization,Knowledge about the domain
Poor risk management is a major cause of software failure | TRUE
A risk is an uncertain factor whose occurrence may result in loss of satisfaction of a corresponding objective | TRUE
The Weak, Strong conflicts are more difficult to handle than… | TRUE
Process-related risks are negative impacts on functional or non-functional objectives of the systems | FALSE
Inconsistencies are highly rare in RE | TRUE
Which of following are types of inconsistency in RE? | Terminology clash, Structure clash, Designation clash
List types of RE risk? | Product-related risks, Process-related risks
What are the phrases of managing conflicts process? | Identify overlapping..., Detect ..., document these, Generate ..., Evaluate..., select ...
What are the goals of risk assessment? | Assess likehood of risks, Assess severity of risks, Assess likehood of risk consequences (h?u qu?)
What is last stage of managing conflicts process? | Evaluate resolution, select preferred
What are the phrases of RE risk management? | Risk identification, Risk assessment, Risk control
What is last phase of RE risk management? | Risk control
Which of the following tactics belong to risk reduction tactics? | Avoid risk, Reduce consequence like hood, Reduce risk like hood, Mitigate risk consequence
Which of the followings belong to Designation clash? | Same name for different concepts in different statements |  e.g. “user” for “library user” vs. “library software user”
Which of the followings belong to Structure clash? | Same concept structured differently in different statements |  e.g. “latest return date” as time point (e.g. Fri 5pm) vs. time interval (e.g. Friday)
Which of the followings belong to Terminology clash? | Same concept named differently in different statements |  e.g. library management: “borrower” vs. “patron”
A context diagram is a simple graph where nodes represent system components and edges represent connections through shared phenomena declared by the labels | TRUE
Free documentation in unrestricted natural language has no limitation in term of expressive and communicability | TRUE
Use case diagrams are used to complement such a view through interaction scenarios | FALSE
SADT diagrams capture activities and data in the system | TRUE
What is the third phase of RE process? | Requirement specification and documentation
Which of the following statements belong to Sequence diagram? | It complements such a view throughinteractionscenarios
Which of the following statements belong to Class diagram? | It provide a structural, entity-relationship view of the system
Which of the following statements belong to Use case diagram? | It is used for outlining an operational view
What does SADT stands for? | Structured Analysis and Design Technique
According to IEEE standard template for organizing the RD, which of the followings belong to General Description? | Product perspective, Product functions, User characteristics, General constraints, Assumptions & Dependencies, Apportioning of requirements
Which of the following belongs to Inter-view consistency rules? | (4)Every component...Every state in a...Every data...Every shared...
According to IEEE standard template for organizing the RD, which of the followings belong to Specific Requirements? | Functional requirements, External interface reqs, Performance reqs, Design constraints, Software quality attributes, Other requirements
The structure of RD should make it easy to | Trade items back to their rationale, Understand it, Following dependency links, Retrieve and analyze its items,
Requirements quality assurance is not a major concern in view of the diversity of potential defects in the requirements document | FALSE
Language-based checklist specialize the defect-based ones to the specific construct of the structured, semi-formal or formal specification language used in the requirements document | TRUE
Formal Verification should not be used to reveal ambiguous and immeasurable RD items during specification formalization | FALSE
The main purpose of requirements validation is to check the adequacy of requirements and assumptions | TRUE
What is the first stage of the requirements inspection process? | Inspection planning
What is the last stage of the requirements inspection process? | RD consolidation
Which of the following statements belong to Free Mode of Individual Reviewing? | The inspector receives no directive on what part of the RD to consider specially or what type of defect to look for
Which of the following statements belong to Requirements Validation by Specification Animation | (All) Its main purpose is to check the adequacy of requirements and assumptions, Its purpose to see whether the system-to-be as specified meets the actual expectations of stakeholder
Which of the following statements belong to Checklist Based Mode of Individual Reviewing? | The inspector is given a list of questions and issues to guide the defect search process
Which of the following belong to Defect-base checklists? | There are lists of questions structured according to the various types of defects that we can find a requirements document
Which of the following belong to Quality-specific checklists? | Such checklists specialize generic and quality-specific checklists to the specific concepts and standard operations found in the domain
All of the followings are techniques used for Requirements Quality Assurance except? | Interviews
Which of the following belong to phase of requirement inspection process? | Individual reviewing, RD consolidation, Inspection planning, Defect evaluation at review meetings
Which of the following are techniques used for Requirements Quality Assurance? | Queries on a requirement database, Formal Verification, Inspections and Reviews, Animation-base validation
Revisions and variants define a two-dimensional space for defining product evolutions, rather than two separate tracks | TRUE
Requirement changes tend to be forgotten during the evolution | TRUE
Variants result from evolution over time, whereas revisions result from evolution across product families | FALSE
Which of the following statements belong to variants? | Variants result from changes made to adapt, restrict or extend a master version to multiple classes of users or usage conditions
Which of the following statements belong to revisions | A revision results from changes generally made to correct or improve the current version of a single product.
Which is the first stage of change control process? | Changeinitiation
Which is the last stage of change control process? | Change consolidation
The cost - benefit analysis should control output parameters from those input parameters, according to the | (3) The people,The technique,The scope,granularity,accuracy,semantic richness ...
What are the phases of change control process? | Change initiation, Change consolidation, Change evaluation and prioritization
Which of the followings belong to the techniques for traceability management? | Cross referencing,Feature diagrams,Traceability matrices,
Which of the following is not a phase of traceability management? | (None)
Which of the following is a phase of traceability management? | Define traceability policy, Establish traceability links, Exploit traceability links, Maintain traceability links
What is the version type of the following casual factor “Environment change: new class of users or new usage condition“ | Variant
What is the version type of the following casual factor "Improved quality feature"? | Revision
Which of the following statement about Change Control is not true? | The necessity, feasibility, benefits, impact and cost of the requested changes are evaluated by development team.
The finer-grained a goal, the fewer agents required for its satisfaction | TRUE
Goals are prescriptive statements of intent the system should satisfy through cooperation of its agent | TRUE
Goal satisfaction requires agent cooperation? | TRUE
What is the goal? | Prescriptive statement of intent the system should satisfy through cooperation of its agents
What are types of goals? | (2 types) Behavioral goals, Soft goals,
What are goal categories? | Functional goals, Non- functional goals
What is a system agent? | It is an active system component that is responsible for goal satisfaction
What are types of Agents? | (3 types) Software,Device,Human
Which of the following statements about system agent are true? | We must restrict its behavior to meet its assigned goals, It must be able to monitor/control phenomena involved in assigned goals
Which of the following statements belong to Higher-level goals? | Effective access to state of the art, 50% increase of transportation capacity
Which of the following statements belong to Lower-level goals? | Reminder issued by end of loan period if no return, Acceleration command sent every 3 seconds
Which of the following statements about behavioral goals are true? | (3)Cannot be... (yes or no),Prescribe intended...,Used for building...Which of the following statements about the distinction between goals & domain properties is not true? |   Only domain properties are required in requirements documentation
AND-refinements should also be consistent and maximal | FALSE
The view that covers the WHY dimension of RE is provided by a goal model? | TRUE
A goal model shows contribution links and leaf goal assignments | TRUE
Getting complete refinements of behavioral goals is essential for requirements completeness | TRUE
Which of the following statements belong to soft goals are true? | (3) Used for comparing ...,Often take the forms:...,Capture preferences...
A goal model includes: | AND – refinement,   OR– refinement
What are the leaf nodes? | Goals assignable to single system agents
Which of the following statements about goal model are true? | (2) Refinement trees visualize ...., Goals are recursively refine-able
Which of the following statements about refinements are true? | (2) Getting complete refinements of..., Domain properties are often ...
All of the followings are heuristic rules of building goal models except? | Merge responsibilities
Which of the following statement about Goal Model are true? | (3) Getting complete refinements of..., Alternative goal ...,We can capture...
What “does AND-refinements should be consistent” mean? | Sub goals G1, ..., Gn and domain properties in Domains may not contradict each other
What “does AND-refinements should be minimal” mean? | If one sub goal Gj is missing, the parent goal is no longer necessarily satisfied
Which of the following statements do not belong to heuristic rules of building goal models? | (2)Merge responsibilities, Analyze the current objectives and problems in the system-to-be
Which of the following belong to heuristic rules of building goal models? | (3)Instantiate goal categories, Search for goal-related..., Ask how and why question
Risk is the uncertain factor whose occurrence may result in loss of satisfaction of corresponding objective | TRUE
Obstacle is the condition on system for violation of corresponding assertion | TRUE
The Poor risk management is a major cause of software failure | TRUE
Risk analysis cannot be anchored on goal models | FALSE
What is a risk? | Uncertain factor whose occurrence may result in loss of satisfaction of corresponding objective
Which of the following statements belong to Week mitigations countermeasure? | New goal ensures weaker version of goal when obstructed
What does Agent substitution mean | Consider alternative responsibilities for obstructed goal so as to make obstacle unfeasible
What does Goal restoration mean? | Enforce target condition as obstacle occurs
What does Goal weakening mean? | Weaken the obstructed goal’s formulation so that it no longer gets obstructed.
What does Obstacle prevention mean? | Introduce new goal Avoid [obstacle]
AND-refinement of obstacle O should be | Consistent,Complete,Minimal
What are obstacles? | The conditions on system for violation of corresponding assertion
Which is a strong mitigation? | A new goal ensures parent of goal when obstructed
Which is a weak mitigation? | A new goal ensures weaker version of goal when obstructed
According to tautology-based refinement, not (A and B) amounts to | Not A or not B
According to tautology-based refinement, not (A if B) amounts to | (A and not B) or (not A and B)
Which is the last stage of Risk Management process? | Risk Control
Conceptual object can be enumerated in only one system state | FALSE
RE is concerned with the problem world only | TRUE
Invariant seeming to constrain one object onlyAnswer | FALSE
Set of instances of a system-specific concept cannot share similar features | FALSE
Which of the following are good class diagrams | (2-4) diagrams (Initating and Scheduling |   On Guard
Which of the followings is a good context diagram? | (Diagram1 Meeting date.range & Meeting.Date
Which of the following statements about the diagram below are true? (Train [is On] 	----On---- [Holdtrain]Block) | (2)At any given time, a block may hold at most one |  At any given time, a train is on at least one and at most two
What are types of conceptual object? | Event |  Agent  |  Entity  |  Association
What are benefits of generalization-based structuring? | (3)Common features... |  Increased mo...  |  Generalized objects & their ...
Which of the following statements about object models are true? | Represented by UML class diagram |  Roughly, shows how relevant system concepts are structured and interrelated  |  Structural view of the system being modeled (as-is or to-be)
Which of the following statement about Object instantiation are true | An instance may migrate........A set of object ...Every conceptual object has a built-in semantic relation telling which instances are currently members of the object
Class diagrams at conceptual level should include | Attributes only
What is an Attribute Multiplicity? | Min/max number of values the attribute may take
What is a state of an instance of conceptual object? | Tuple of functional pairs xi |  --> vi
Abstract agents can be refined? | TRUE
Agent’s instances cannot control behavior of other objects | TRUE
Responsibility assignments should not take agent capabilities into account | FALSE
Which of the followings are good heuristics for responsibility assignment? | (4)Identify finer-...Select ass... |  Favor human...Make ass...
Which are true statements about agent capabilities? | (2) |  They are defined...  |  When an individual...
Which of the following statements about Agents are true? | They are assigned to the leaf goals |  They can run concurrently with others
Which of the following statement about the Meeting Scheduling system are true? | Meetings should be scheduled after the scheduler gets all participants constrain
A goal turns to be unrealizable by an agent if and only if one of the following criteria holds? | The agent is unable to monitor a variable in the goal specification that needs to be evaluated for goal satisfaction
Which of the following diagrams can be used to represent Agent Model? | Dependency diagram |  Agent diagram  |  Context diagram
We can use only Use case diagram to show operational view of the system | FALSE
Goal refinement followed by operationalization is preferable to operation refinement, as it preserves goal traceability and supports simpler satisfaction arguments | TRUE
Which of the followings about Context diagrams are true? | (2)The nodes in Context.... |  We can use a variant of these ...
Which of the following statements about Agent model are true? | (3)It is used to show the di...It shows who....It shows the Resp...
Which of the following heuristics can be used to identify operations from interaction scenarios? | (2)For each interaction event in a scenario...For each interaction event in a scenario...
Which of the following statements about domain conditions are true? | (2)The domain post-condition of an operation.... |  The domain pre-condition of an operation characterizes the class of input sates when the operation is applied, regardless of any restriction required for goal satisfaction
Which of the following statements is true | A leaf goal is generally operationalized by multiple operations
Which of the following statements about UML use case diagrams is true? | (2)Generation of use cases from...A use case should operation...
Which are true statements about Agent non-determinism? | (2)eager: agent instance applies....lazy: agent instance ...
Which of the following statements about use cases are true? | A use case outlines the operations an agent... |  A use case should operationalize the leaf goals underlying the operations in it
Which of the following statements about basic features of operations are true? | Any system operation has a unique name
Which of the following statements belong to Extra consistency rules between operation and agent models? | (2)The agent responsible for G must perform...If these operations operationalize...
State machines provide visual abstractions of explicit behaviors of any agent instance on a class. | TRUE
Scenarios do not support an informal, narrative and concrete style of expression | FALSE
Which of the following statements about Modeling instance behaviors is not true? | (None 4)
Two concepts Function and non-function requirement are | Full separate
Two concepts User requirement and System requirement are | Other
Which of the following statements about Modeling instance behaviors are true? | (3)The scenario...The interacting ...In the case of ...
Which of the following statements is true? | A guard captures a nec...A global system behavior is obtained...Which of the following statements about UML sequence diagrams are true? |   (3)Timelines are represe...The interaction is synchronously....The basic UML syntax for ...
Which of the following statements about Actions of State machines are true? | (2)It is applied when the transition fires |  Auxiliary means that ...
State machines complement the fragmentary information provided by scenarios in multiple ways: | (3)They capture...They make...They are aimed...
List the appropriate ways to refine scenario? | Introduce Episodes |  Agent decomposition
Which of the following statements about State machines are NOT true? | (None 3)
To support Structural consistency of the goal and object models, for every object in the object model, there must be at least one goal in goal model concerning it | TRUE
To support Structural consistency of the goal and agent models, every goal under the responsibility of an agent in the agent model must appear as a leaf goal in the goal model | TRUE
Which of the followings belong to Structural consistency of the goal and agent models? | Every goal ...Every agent ...Every requirement...One of the candidate agents in an OR-assignment to a leaf goal in the goal model must appear as the selected agent responsible for this goal in the agent model.
