_____ reasoning is reasoning about what we should do. | Practical
From a utilitarian perspective, individual rights to privacy or right to control information about oneself may be outweighed in cases where: | public safety is at risk.
Greater consumption is likely to lead to unhappiness, a condition termed _____. | affluenza
How did the use of an implied warranty of merchantability solve a set of problems with the contract law approach to product liability? | Consumers do not need complex contracts in order to protect themselves from all possible harms that products might cause.
Identify the act that expanded states' rights with regardto Internet surveillance technology, including workplace surveillance, and amendedthe Electronic Communications Privacy Act. | The USA PATRIOT Act
Identify the ethical tradition that directs us to act on the basis of moral principles. | Principle-based ethics
Identify the external mechanism that seeks to ensure ethical corporate governance. | The Sarbanes-Oxley Act
If the basis for finding an invasion of privacy is often the employee's legitimate and reasonable expectation of privacy, then a situation where there is no real expectation of privacy occurs when the: | employee has actual notice.
If we are told specifically to pay attention to a particular element of a decision or event, we are likely to miss all of the surrounding details, no matter how obvious. According to Bazerman and Chugh, this phenomenon is known as _____. | inattentional blindness
In economic terms, all resources: | are infinite because they can be replaced by substitutes.
In the ethical decision-making process, identify the step that involves predicting the likely, foreseeable, and the possible consequences to all the relevant stakeholders. | Comparing and weighing the alternatives
In the philanthropic model of CSR, situations where a business supports a social cause for the purpose of receiving a business benefit in return are not much different from: | the economic model of CSR.
Kathy, your best friend and class mate, asks you to help her with a challenging ethical predicament. Which of the following would be your first step in the decision making process? | Identifying the ethical issue
Marketing experts consider stealth marketing extraordinarily effective because: | a consumer does not question the message as she might challenge a traditional advertising campaign.
Marketing practices targeted at elderly populations for goods such as supplemental health insurance, funerals etc. are subject to criticism because: | that population is vulnerable.
Reminiscent of the _____ tradition, it is suggested that some animals have the cognitive capacity to possess a conscious life of their own and people have a duty not to treat these animals as mere objects and means to their own ends. | Kantian
Sara, an employee of PentaComp Inc., passed on confidential information of her company to her friend. Her friend benefitted from selling PentaComp's stock based on the information shared by Sara. In this scenario, Sara can be convicted of _____. | insider trading
Section 307 of the Sarbanes-Oxley Act addresses the: | rules of professional responsibility for attorneys.
Society creates a strong incentive for businesses to produce safer goods and services by holding them responsible for any harm their products cause. This claim supports the: | strict product liability standard.
Some companies have a(n)_____ policy under which an employer refuses to hire orterminates a worker on the basis of the spouse's working at the same firm. | anti-nepotism
Sustainability holds that: | a firm's financial goals must be balanced against environmental considerations.
The aspect of business ethics that examines business institutions from a social rather than an individual perspective is referred to as: | decision making for social responsibility.
The crux of normative ethics is that these disciplines: | presuppose some underlying values.
The first step in making decisions that are ethically responsible is to: | determine the facts.
The for-profit organizations that prioritize social entrepreneurship and sustainability as a central part of their strategic mission are pursuing the _____ model of CSR. | integrative
The form of business that limits the liability of individuals for the risks involved in business activities is known as _____. | corporation
The function of auditors as gatekeepers is to: | verify a company's financial statements so that investors' decisions are free from fraud and deception.
The practice of attending to the "image" of a firm is referred to as: | reputation management.
The U.S. Department of Commerce negotiated a Safe Harbor exception: | becausethe U.S. would not qualify as having adequate protection.
Virtue ethics emphasizes the more _____ side of our character. | affective
What is the difference between virtue ethics and principle-based ethics? | Virtue ethics is based on character traits, whereas principle-based ethics is based on a set of rules.
When a firm engages in socially responsible activities with a prime focus on reputation: | social responsibility tend to become a form of social marketing.
When we do not get to know someone because we do not have to see that person in order to do our business, we often do not take into account the impact of our decisions on him or her. This is the challenge posed by the: | facelessness that results from the use of new technology accessible in the workplace.
When would a values-based culture rely on the personal integrity of its workforce for making decisions? | In situations where the rules of the organization do not apply
Which of the following approaches conceives of practical reason in terms of deciding how to act and what to do? | Utilitarianism
Which of the following best describe the norms that guide employees, implicitly more often than not, to behave in ways that the firm values and finds worthy? | Organizational culture
Which of the following ethical requirements is the type of responsibility established by the precedents of tort law? | Duty to not cause avoidable harm to the society
Which of the following focuses on the concept of business practices and what type of people these practices are creating? | Virtue ethics
Which of the following holds that a business is responsible for the entire life of its products, including the ultimate disposal even after the sale? | The cradle-to-grave model
Which of the following involves the disclosure of unethical or illegal activities to someone who is in aposition to take action to prevent or punish the wrongdoing? | Whistleblowing
Which of the following is a disadvantage of monitoring? | Monitoring tends to constrain effective performance since it can cause increased stress and pressure.
Which of the following is a problem associated with the regulatory approach to environmental challenges? | The regulatory model assumes that economic growth is environmentally and ethically benign.
Which of the following is a problem with utilitarian ethics? | Its need to count, measure, compare, and quantify consequences
Which of the following is a value that will impact the culture of an organization in the absence of any other established values? | Profit—at any cost
Which of the following is an essential element in establishing an ethical leadership? | The end or objective toward which the leader leads
Which of the following is discrimination against those traditionally considered to be in power or the majority? | Reverse discrimination
Which of the following is true about the "Hawthorne Effect"? | According to the Hawthorne effect, workers' productivity improves when they are singled out.
Which of the following is true about the concept of sustainable development and sustainable business practice? | It suggests a radically new vision for integrating financial and environmental goals, compared to the growth model that preceded it.
Which of the following is true about the European Union's Directiveon Personal Data Protection? | It prohibits EU firms from transferring personal information to a non-EU country unless that country maintains "adequate protections" of its own.
Which of the following is true about the market-based approach to environmental responsibility? | Market failure occurs when no markets exist to create a price for important social goods.
Which of the following is true of a service-based economy? | A service-based economytends to the consumers' demand for clothes cleaning, floor covering, illumination, entertainment, and so forth.
Which of the following is true of change blindness? | It occurs when decision makers fail to notice gradual variations over time.
Which of the following is true of Federal Sentencing Guidelines for boards? | The board must be knowledgeable about the objectives and process of the ethics program rather than simply the mere contents of a training session.
Which of the following is true of health and safety at the workplace? | Health and safety have instrumental value and intrinsic value.
Which of the following legal duties of board members suggests that a director does not need to be an expert or actually run the company? | Duty of care
Which of the following models does not differentiate natural resources from the other factors of production and does not explain the origin of resources? | The circular flow model
Which of the following models of corporate social responsibility holds pursuit of profit as the sole duty of a business? | Economic model of corporate social responsibility
Which of the following principles does utilitarianism emphasize? | Producing the greatest good for the greatest number
Which of the following problems are associated with the market controlled approach to health and safety? | Employees do not know the risks involved in a job and therefore are not in a position to freely bargain for appropriate wages.
Which of the following prohibits the "interception" or unauthorized access of stored communications? | The Electronic Communications Privacy Act of 1986
Which of the following recommends cycling the waste of one activity into the resource of another? | The biomimicry principle
Which of the following rely on gatekeepers for fair and effective functioning of economic markets? | Bankers
Which of the following scenarios gives rise to conflicts of interests in corporate governance? | Senior executives determining the compensation received by board members
Which of the following statements about the GeneticInformation Non-Discrimination Act of 2009 (GINA) is true? | Under GINA, an employer can collectgenetic information in order tomonitor the biological effects of toxic substances in the workplace.
Which of the following statements is true about ethical decision making in business? | Ethical decision making is not limited to the type of major corporate decisions with dramatic social consequences.
Which of the following statements is true about the Federal Sentencing Guidelines for Organizations? | They provide uniformity and fairness to the judiciary system.
Which of the following statements is true about the philanthropic model of corporate social responsibility? | This model holds that business has no strict obligation to contribute to social causes, but it can be a good thing when they do so.
Which of the following statements is true about the right of due process? | In legal contexts, due process refers to the procedures that police and courts must follow in exercising their authority over citizens.
Which of the following statements reflects the approach of a principle-based ethical tradition? | Obey the law
Which of the following theories recognizes the fact that every business decision affects a wide variety of people—benefiting some and imposing costs on others? | Stakeholder theory
Which of the following was suggested by William Baxter? | An optimal level of pollution can be achieved through competitive markets.
Which provision of the Sarbanes-Oxley Act prohibits various forms of professional services that are determined to be consulting rather than auditing? | Section 201
While approaching an ethical issue in marketing, the rights-based tradition would: | ask to what degree the participants are respected as free and autonomous agents rather than treated simply as means to the end of making a sale.
_____ is that aspect of ethics that is referred to by the phrase "personal integrity." | Morality
_____ refers to the body of law comprised of the decisions handed down by courts, rather than specified in any particular statutes or regulations. | Common law
. _____ theory argues that the narrow economic model fails both as an accurate descriptive and as a reasonable normative account of business management. | Stakeholder
. Which of the following is an example of reverse discrimination in America? | A female interviewer rejects a male interviewee because of gender.
. Which of the following refers to the growing marketing practice of taking back one's products after their useful life? | Reverse channels
2. Which of the following statements is true about ethical decision making in business? | At some point, every worker will be faced with an issue that will require ethical decision making.
9. Which of the following is an approach advocated while teaching ethics? | Teachers should consider acceptance of customary norms as an adequate ethical perspective.
11. Which of the following observations is true of ethics? | It deals with our reasoning about how we should act.
12. Like ethics, social sciences such as psychology and sociology also examine human decision making and actions. However, these fields differ from ethics because they are _____. | descriptive in nature
34. Practical reasoning is reasoning about: | what we should do.
A business will seek to limit its liability by explicitly disowning any promise or warranty by: | issuing a disclaimer of liability.
According to economist Herman Daly, neoclassical economics, with its emphasis on economic growth as the goal of economic policy will inevitably fail to meet these challenges: | unless it recognizes that the economy is but a subsystem within earth's biosphere.
According to Norman Bowie, the "moral minimum" that we expect of every person—either acting as individuals or within corporate institutions—is: | respect for human rights.
According to Socrates, which of the following aspects leads to an unexamined life not worth living? | Passivity
According to the _____ ethics tradition, people act out of habit than out of deliberations. | virtue
According to the economic model of corporate social responsibility, the sole duty of a business is to: | fulfill the economic functions that it was designed to serve.
According to the universal principle of Kantian philosophy, the ethical obligation of _____ should guide employment interactions. | respect for people
According toeconomist John Kenneth Galbraith, advertising and marketing were creating the very consumer demand that production then aimed to satisfy. The assertion that consumer demand relies upon what producers have to sell is termed: | the dependence effect.
An employer is held liable for damages caused by an accident involving an employee driving the company car on company business. Identify the law underlying this decision. | The doctrine of respondent superior
As compared to a traditional compliance-oriented program, an evolved and inclusive ethics program: | entails helping to unify a firm's global operations.
Discussions in ethics about employee health and safety tend to focus on the relative risks workers face and the level of acceptable workplace risk because: | employers cannot be responsible for providing an ideally safe and healthy workplace.
Estimates suggest that with present technologies, businesses can readily achieve at least a fourfold increase in efficiency, and perhaps as much as a tenfold increase. This can be achieved through the first principle of sustainability known as: | eco-efficiency.
General vulnerability occurs when: | a person is susceptible to some specific physical, psychological, or financial harm.
Identify the barrier where individuals or groups select the option that meets the minimumdecision criteria, the one that people can live with, even if it might not be the best. | Satisficing
Identify the COSO element that is directed at supporting the control environment through fair and truthful transmission of facts. | Information and communications
Identify the duty of obedience according to which board members should strive toward corporate objectives, and are not permitted to act in a way that is inconsistent with the central goals of the organization? | Duty of good faith
Identify the gatekeepers who ensure that decisions and transactions conform to the law. | Attorneys
Identify the view which holds that people act only out of a self-interest. | Egoism
In a general sense, a business _____ is anyone who affects or is affected by decisions made within the firm, for better or worse. | stakeholder
In an ethical decision-making process, moral imagination helps individuals make ethically responsible decisions. Identify the step in which moral imagination is critical. | Considering the available alternatives
In selling a product, a business offers tacit assurances that the product is reasonably suitable for its purpose. The law refers to this as the: | implied warranty of merchantability.
In the ethical decision-making process, once we have examined the facts, identified the ethical issues involved, and identified the stakeholders, we need to next _____. | consider the available alternatives
Most statutes or common law decisions provide for employer defenses for all of the following EXCEPT: | those rules that treat one group differently from another considering lifestyle practices.
Norms: | are standards of appropriate and proper behavior.
Section 406 of the Sarbanes-Oxley Act addresses the: | codes of ethics for senior financial officers.
Some employers might decide to treat employees well as a means to produce greater workplace harmony and productivity. This approach is reminiscent of _____ ethics. | utilitarian
Speaking on a cell phone while driving, and as a result, missing a highway turn-off by mistake is an example of _____. | inattentional blindness
Stakeholder theory is an example of the: | social web model of corporate social responsibility.
The _____ ethical tradition would see a simple situation of an agreement for an exchange between two parties asupholding respect for individuals by treatingthem as autonomous agents capable of pursuing their own ends. | rights-based
The essence of utilitarianism is its: | reliance on consequences.
The first step in constructing a personal code or mission for a firm is to: | ask oneself what one stands for or what the firm stands for.
The inability to recognize ethical issues is known as _____. | normative myopia
The issue of workplace bullying is more predominant in the service sector because: | that work relies significantly on interpersonal relationships and interaction.
The law relating to affirmative action appliesonly to about 20 percent of the workforcewho are subject to Executive Order 11246,which requires affirmative action efforts to ensure equal opportunity. Which of the following is required by courts in order to remedy a finding of past discrimination,when ExecutiveOrder 11246 is not applicable? | Judicial affirmative action
The life of one who dies in a workplace accident has _____ value that can be measured, in part, by the lost wages that would have been earned had that person lived. | instrumental
The means used to motivate others and achieve one's goals plays a key role in distinguishing between: | effective leaders and ethical leaders.
The philanthropic model in which business support for a social cause is done because it is the right thing to do differs from the reputational version only in terms of the: | underlying motivation.
The possibility that the economy cannot grow indefinitely is simply not part of the: | circular flow model.
The second step in the development of guiding principles for a firm is to: | articulate a clear vision regarding the firm's direction.
The study of various character traits that can contribute to, or obstruct, a happy and meaningful human life is part of _____. | virtue ethics
The three goals of sustainable development that include economic, environmental, and ethical sustainability are referred to as the: | three pillars of sustainability.
The Title VII of the _____, passed in 1964, created the prohibited classes of discrimination. | United States Civil Rights Act
The Triple Bottom Line approach involves measuring business success of sustainable businesses and sustainable economic development in terms of: | economic, ethical, and environmental sustainability.
Title II of the USA PATRIOT Act provides roving surveillance authority under the: | Foreign Intelligence SurveillanceAct to track individuals.
Values that are fundamental across culture and theory are called: | hypernorms.
Which among the following is a legal right? | The right to bargain collectively as part of a union
Which of the following about the regulation of off-work acts in the U.S. is true? | Laws that protect employees against discrimination based on marital status exist in just under half of the states.
Which of the following allows organizations to uncover silent vulnerabilities that could pose challenges later to the firm, serving as a vital element in risk assessment and prevention? | Ongoing ethics audit
Which of the following are beliefs and principles that provide the ultimate guide to a company's decision making? | Core values
Which of the following directed the USSC to consider and to review its guidelines for fraud relating to securities and accounting, as well as to obstruction of justice, and specifically asked for severe and aggressive deterrents insentencing recommendations? | Sarbanes-Oxley Act
Which of the following do advertising and other marketing practices violate by creating consumer wants? | Consumer autonomy
Which of the following explains the statement "All resources are fungible"? | It means that all resources can be replaced by substitutes.
Which of the following gatekeepers guarantee that executives act on behalf of the stockholders' interests? | Board of directors
Which of the following holds that a business should be responsible for incorporating the end results of its products back into the productive cycle? | Cradle-to-cradle
Which of the following is a criticism of the Sarbanes-Oxley Act? | It imposes extraordinary financial costs on the firms.
Which of the following is a similarity between utilitarianism and stakeholder theory? | Both consider the consequences of management decisions for the well-being of all affected groups.
Which of the following is an advantage of drug testing? | Drug testing tends to provide a productivity benefit for companies.
Which of the following is an example of a firm that is failing its fundamental social responsibility? | A firm that uses resources at unsustainable rates
Which of the following is the final step in the ethical decision-making process? | Monitoring and learning from outcomes
Which of the following is true about an integrity-based culture? | It reinforces a particular set of values.
Which of the following is true about the Sarbanes-Oxley Act? | It required public companies to establish a code of conduct for top executives and, if they did not have one, to explain why it did not exist.
Which of the following is true about the USA PATRIOT Act? | The act expands states' rights with regard to Internet surveillance technology.
Which of the following is true about tort law? | Tort law holds manufacturers accountable in cases when consumers are injured by products and no one is at fault.
Which of the following is true of ethics based on rights? | There is no agreement on the scope and range of rights.
Which of the following is true of excessive compensation packages? | When huge amounts of compensation depend on quarterly earnings reports, there is a strong incentive to manipulate those reports in order to achieve the money.
Which of the following is true of normative myopia? | It refers to the shortsightedness about values.
Which of the following is true of the COSO controls and the Sarbanes-Oxley requirements? | They encourage greater accountability for financial stewardship.
Which of the following is true of the sustainability model in terms of environmental responsibilities? | The huge unmet market potential among the world's developing economies can only be met in sustainable ways.
Which of the following mechanisms allows employees to report wrong doing and to create mechanisms for follow-up and enforcement? | Ombudsman
Which of the following provisions of the Sarbanes-Oxley Act mandates majority of independents on any board and total absence of current or prior business relationships? | Section 301
Which of the following situations could result in the business culture becoming a determining factor in ethical decision making? | Law providing incomplete answers
Which of the following statements about the Electronic Communications Privacy Act of 1986 is true? | A firm that secures employee consent to monitoring at the time of hire is immune from ECPA liability.
Which of the following statements is inferred from Rawls's theory of justice? | A decision which is partial is considered an unfair decision.
Which of the following statements is true about cost-benefit analysis? | It requires that an economic value be placed on one'slife and bodily integrity.
Which of the following statements is true about monitoring? | It has the potential to cause physical disorders such as carpaltunnel syndrome.
Which of the following statements is true about negligence? | One can be negligent by doing something that one should not.
Which of the following statements is true about stealth marketing? | It refers to situations where consumers are subject to directed commercial activity without their knowledge.
Which of the following statements is true about the market controlled approach to health and safety? | In this approach, employees are free to choose the risks they are willing to face by bargaining with employers.
Which of the following suggests that a business takes resources, makes products out of them, and discards whatever is left over? | The take-make-waste approach
Which of the following terms refers to shortsightedness about values? | Normative myopia
Which of the following ways can lead market failure to serious environmental harm? | Making no distinction between individual decisions and group consequences
While approaching an ethical issue in marketing, the utilitarian tradition would want to know: | the degree to which the transaction provided actual as opposed to merely apparent benefits.
_____ establish the guidelines or standards for determining what one should do, how one should act, what type of person one should be. | Norms
. _____ of the Sarbanes-Oxley Act addresses the disclosure of audit committee financial expert. | Section 407
. A _____exists where a person holds a position of trust that requires that he exercise judgment on behalf of others, but where his personal interests conflict with those of others. | conflict of interest
. Focusing failures result in moments where we ask ourselves, "How could I have missed that?" According to Bazerman and Chugh, this phenomenon is known as: | inattentional blindness.
. The simple situation in which two parties come together and freely agree to an exchange is ethically legitimateonly prima faciebecause: | certain conditions must be met before it can be concluded that autonomy has been respected and mutual benefit has been achieved.
. Which of the following is a set of processes for creating, communicating, and delivering value to customers and for managing customer relationships in ways that benefit the organization and its stakeholders? | Marketing
. Which of the following is true about technology and its usage? | It tends to cause facelessness that is a challenge that has to be met.
"Just as individuals have no ethical obligation to contribute to charity or to do volunteer work in their community, business has no ethical obligations to serve wider social goods. But, just as charity is a good thing and something that we all want to encourage, business should be encouraged to contribute to society in ways that go beyond the narrow obligations of law and economics." Identify the model of CSR that reflects this line of thought. | Philanthropic model
6. Identify the bill that was passed in April 2009 to amend the executive compensation provisions of the Emergency Economic Stabilization Act of 2008 to prohibit unreasonable and excessive compensation and compensation not based on performance standards. | Grayson-Himes Pay for Performance Act
14. As a _____ discipline, ethics seeks an account of how and why people should act a certain way. | normative
32. Which of the following observations is true? | The law cannot anticipate every new dilemma that businesses might face.
33. Which of the following helps identify potential events that may affect the entity, and manage risk to be within its risk appetite, to provide reasonable assurance regarding the achievement of entity objectives? | Risk assessment
37. _____ reasoning is reasoning about what we should believe. | Theoretical
39. According to the tradition of theoretical reason, _____ is the great arbiter of truth. | science
A claim which states that people who 'pay' for wrongs are unfairly burdened and should not bear the responsibility for the acts of others, is opposing _____. | affirmative action
A narrow view of corporate social responsibility is expressed by the: | economic model of corporate social responsibility.
A rights-based ethical framework would object to child labor because: | such practices violate our duty to treat children with respect.
According to Donaldson and Dunfee, examples of hypernorms include the right to: | personal freedom.
According to economist Antonio Argandona, which of the following elements would include issues relating to company secrets, espionage, and intelligence gathering? | Respect for privacy
According to Immanuel Kant, there is essentially one fundamental moral duty: | to treat each person as an end in themselves.
According to the _____, the most efficient economy is structured based on the principles of free market capitalism. | utilitarian framework of ethics
According to the libertarian versions of social justice, _____ is the central element of social justice. | individual liberty
According to the philosopher Norman Bowie, the contractual duty that managers have to stockholder-owners: | overrides their responsibility to prevent harm or to do good.
All of the following are ways through which affirmative action can arise at the workplace except: | consultant based affirmative action.
Consequences, justifications, principles, rights, or duties are all methods to: | compare and weigh alternatives.
Corporate managers who fail to give due consideration to the rights of employees and other concerned groups in the pursuit of profit are treating these groups as means to the ends of stockholders. This is unjust according to the _____. | rights-based ethical framework
Cradle-to-grave and cradle-to-cradle responsibilities are part of the _____ sustainable business principle. | biomimicry
Critics in both industry and government argue that OSHA should aim to achieve the optimal, rather than highest feasible, level of safety. Which of the following can be used to achieve this goal? | Cost-benefit analysis
Employees will be on their best behavior during phone calls if they know that those calls are being monitored. Identify this effect of employee monitoring. | The Hawthorne effect
Ethics seeks an account of how and why people should act a certain way, rather than how they do act. This nature of ethics makes it a(n) _____ discipline. | normative
How is an ethical, effective leader different from an effective leader? | An ethical leader will empower the employees in decision making.
Identify the approach that assumes that every purchase involves the informed consent of the buyer and is ethically legitimate. | Caveat emptor approach
Identify the correct statement about ethical leaders. | An ethical leader's traits and behaviors must be socially visible.
Identify the correct statement about government standards in the government-regulated ethics approach to health and safety. | Standards can overcome market failures that result from insufficient information.
Identify the distinguishing feature between cost-benefit analysis and cost-effectiveness. | Cost-benefit analysis is ethically problematic.
Identify the gatekeepers who function as intermediaries between a company's stockholders and its executives. | Board of directors
If an employee's weight is evidence of or results from a disability, the employermust explore whether the worker is otherwise qualified for the position.Under theAmericans with Disabilities Act (ADA), the individual is considered "otherwise qualified" if she or he: | can performthe functions of the position with or without reasonable accommodations.
Markets can work to prevent harm only through information supplied by the existence of market failures. This is better known as the: | first-generation problem.
Milton Friedman claims that a corporate executive has a "responsibility to conduct business in accordance with his or her employer's desires, which generally will be to make as much money as possible while conforming to the basic rules of society, both those embodied in law and those embodied in ethical custom." This view of corporate social responsibility has its roots in the _____ tradition. | utilitarian
Morality is the aspect of ethics that we can refer to by the phrase "_____." | personal integrity
Name the legalviolation that occurs when someone intentionally interferes on the private affairs ofanother when the interference would be "highly offensive to a reasonable person." | Intrusion into seclusion
No group could function if members were free at all times to decide for themselves what to do and how to act. Which of the following functions to organize and ease relations between individuals? | Social contract
Over the long term, resources and energy cannot be used, nor waste produced, at rates at which the biosphere cannot replace or absorb them without jeopardizing its ability to sustain life. These are what Herman Daly calls the: | "biophysical limits to growth."
Philosophically, the right of _____ is the right to be protected against the arbitrary use of authority. | due process
Section 404 of the Sarbanes-Oxley Act addresses the: | management assessment of internal controls.
Some employers emphasize the rights and duties of all employees, and treat employees well simply because "it is the right thing to do." Identify the ethical approach for this perspective. | Deontological ethics
The _____ serves as an articulation of the fundamental principles at the heart of the organization and should guide all decisions without abridgment. | mission statement
The _____ value of the life is something that financial compensation cannot replace. | intrinsic
The _____model of CSR holds that, like individuals, business is free to contribute to social causes as a matter of philanthropy, and business has no strict obligation to contribute to social causes; but it can be a good thing when they do so. | philanthropic
The Arthur Andersen auditors did not notice how low Enron had fallen in terms of its unethical decisions over a period of time. According to Bazerman and Chugh, this omission is an example of _____. | change blindness
The conservation movement: | argued that the natural world was valued as a resource, providing humans with both direct benefits and indirect benefits.
The Constitution's Fourth Amendment protection against an unreasonable search and seizure governs only the public sector workplace because: | the Constitution applies only to state action.
The desire to place workers in appropriate positions, to ensure compliance with affirmative action requirements, or to administer workplace benefits is sufficient reason for employers to undertake employee _____. | monitoring
The implied warranty of merchantability shifts the burden of proof from: | consumers to producers.
The Kantian tradition claims that humans do not act only out of instinct and conditioning; they make free choices about how they live their lives, about their own ends. In this sense, humans are said to have a fundamental human right of: | autonomy.
The Supreme Courtseparated the "mandatory" element of theFederal SentencingGuidelines for Organizationsfrom their advisory role,holding that their mandatory nature: | violated the Sixth Amendment right to a jurytrial.
The tension that prevails when an organization tries to meet both social and economic responsibilities is generally overcome by: | pursuing social ends as the very core of an organization's mission.
Theoretical reasoning is reasoning about: | what we should believe.
Tom, an employee of Electronixx, adjusted credits and debits of the company's ledger to show high profits. He also created false documents, underreported his income, and evaded paying taxes for a year. Tom can be convicted for _____. | conflicts of interest in accounting
UniCo—a multinational corporation that specializes in designing, developing, and selling consumer electronics—outsources manufacturing products to a third-world country company. Human rights activists have criticized UniCofor operating in humane sweatshops at the manufacturing plants to gain profits. Although UniCo. is not directly liable to the labor exploitation, it threatens to pull out its business from the contracted company if the laborers are not provided with dignified wages and good working conditions. Which of the following responsibilities did the company fulfill in this scenario? | espondent superior
Utilitarianism has been called a(n): | consequentialist approach to ethics.
What is the difference between a principle-based framework of ethics and utilitarianism? | Ethics of principles is based on rules, whereas utilitarianism is based on consequences.
When can we conclude that an activity has an "acceptable level of risk?" | If it can be determined that the probability of harm involved in a specific work activity is equal to or less than the probability of harm of some more common activity.
When does issue identification become the first step in the ethical decision-making process? | When you are presented with an issue from the start
When faced with a situation that suggests two clear alternative resolutions, we often consider only those two clear paths, missing the fact that other alternatives might be possible. Considering limited alternatives is a stumbling block to responsible action that can be categorized as a(n) _____. | cognitive barrier
Which of the following acts grants access to sensitivedata with only a court order rather than a judicial warrant and imposes or enhancescivil and criminal penalties for knowingly or intentionally aiding terrorists? | The USA PATRIOT Act
Which of the following approaches emphasizes the need to follow legal rules regardless of unfavorable consequences? | Principle-based
Which of the following approaches to health and safety at the workplace can be considered paternalistic decision making which treats employees like children and makes crucial decisions for them? | Acceptable level of risk approach
Which of the following are additional ethical responsibilities board members should have beyond legal obligations? | They should be critical in their inquiries about corporate vulnerabilities.
Which of the following best describes corporate social responsibility? | It refers to the actions for which a business can be held accountable.
Which of the following best describes ethics? | The study of how human beings should properly live their lives
Which of the following elements is important not only to consider the obvious options with regard to a particular dilemma, but also the much more subtle ones that might not be evident at first blush? | Moral imagination
Which of the following elements of COSO refers to policies and procedures that support the cultural issues such as integrity, ethical values, competence, philosophy, and operating style? | Control activities
Which of the following ethical frameworks directs us to decide based on overall consequences of our acts? | Utilitarianism
Which of the following ethical traditions would have the strongest objections to manipulation? | Principle-based
Which of the following exemplifies insider trading? | Misappropriation of proprietary knowledge
Which of the following is a cognitive barrier to responsible, ethical decision-making? | Following simplified decision rules
Which of the following is an effective way of creating clear and successful reporting schemes? | Consistent and continuous communication of the firm's values to all stakeholders
Which of the following is an example of a social role? | Neighbor
Which of the following is an example of consumer vulnerability? | Children susceptible to any bright, attractive items of no practical value
Which of the following is an internal mechanism that seeks to ensure ethical corporate governance? | The COSO framework
Which of the following is an often overlooked aspect of advertising? | Educational function
Which of the following is emphasized by a compliance-based culture? | Obedience to rules as the primary responsibility of ethics
Which of the following is one of the "Four Ps" of marketing? | Promotion
Which of the following is the challenge associated with ethical pay offs? | It is very difficult to measure ethical pay offs.
Which of the following is the second step of the ethical decision-making process? | Identifying the ethical issues involved
Which of the following is true about a compliance-based culture and/or a value-based culture? | Values-based organizations include a compliance structure.
Which of the following is true about communicating unethical behavior in a corporate structure? | Reporting individuals can face retaliation from superiors.
Which of the following is true about corporate cultures? | Corporate cultures can hinder individuals in making the "right" decisions.
Which of the following is true about privacy? | Privacy can be legally protected by the constitution.
Which of the following is true about strict product liability? | It insures that society creates a strong incentive for business to produce safer goods and services by holding business strictly liable for any harm their products cause.
Which of the following is true about the economic model of CSR? | It contends that the goal of business managers should be to pursue profit within the law.
Which of the following is true about the regulatory approach to environmental challenges? | It shifted the burden from those threatened with harm to those who would cause the harm.
Which of the following is true of a market version of utilitarianism? | Individuals calculate for themselves what risks they wish to take.
