An adjusting entries for unearned revenue affects | Revenue and Liabilities
A company must record its expenses incurred to generate the revenue reported at the same period.It is about: | Matching Principle
Which is the assumption stating that A business is accounted for separately from other business entities, including its owner? | Business Entity Assumption
Which are expected to be sold, collected or used within one year or the company�s operating cycle? | Current assets
Flash has beginning equity of $257,000, net income of $51,000, withdrawals of $40,000 and investments by owners of $6,000. Its ending equity is: | $274,000
Which of the following statements is true about assets? | All of these
Net Income: | Is the excess of revenues over expenses
Decreases in equity that represent costs of assets or services used to earn revenues are called: | Expenses
Accounting is an information and measurement system that: | All of these.
Which of the following accounting principles would require that all goods and services purchased should be recorded at cost? | Cost principle
External users of accounting information include: | All of these.
The description of the relation between a company's assets, liabilities, and equity, which is expressed as Assets = Liabilities + Equity, is known as the: | Accounting equation.
Another name for equity is: | Net asset.
On June 30 of the current year, the assets and liabilities of Phoenix Phildell are as follows: Cash $20,500; Accounts Receivable, $7,250; Supplies, $650; Equipment, $12,000; Accounts Payable, $9,300. What is the amount of owner's equity as of July 1 of the current year? | $31,100
Accounts receivable refers: | A promise from customer for service or product the company provided on credit
Money which a company owes to vendors for products and services purchased on credit. This item appears on the company's balance sheet as a current liability. | Account payable
If the assets of a business increased $89,000 during a period of time and its liabilities increased $67,000 during the same period, equity in the business must have: | Increased $22,000.
If the liabilities of a company increased $74,000 during a period of time and equity in the company decreased $19,000 during the same period, what was the effect on the assets? | Assets would have increased $55,000.
The following transactions occurred during July:1. Received $900 cash for services provided to a customer during July.2. Received $2,200 cash investment from Barbara Hanson, the owner of the business.3. Received $750 from a customer in partial payment of his account receivable which arose from sales in June.4. Provided services to a customer on credit, $375.5. Borrowed $6,000 from the bank by signing a promissory note.6. Received $1,250 cash from a customer for services to be rendered next year.What was the amount of revenue for July? | $ 1,275.
Creditors' claims on the assets of a company are called: | Liabilities.
Distributions by a business to its owners are called: | Withdrawals.
How would the accounting equation of Boston Company be affected by the billing of a client for $10,000 of consulting work completed? | +$10,000 accounts receivable, +$10,000 revenue.
$370.A company had inventory of 15 units at a cost of $20 each on November 1. On November 2, it purchased 10 units at $22 each. On November 6 it purchased 12 units at $25 each. On November 8, it sold 22 units for $54 each. Using the FIFO perpetual inventory method, what was the cost of the 22 units sold? | $454.
A balance sheet lists: | The types and amounts of assets, liabilities, and equity of a business as of a specific date.
A business is accounted for separately from other business entities, including its owner. | Business Entity Assumption
A company acquires equipment for $75,000 cash. This represents a(n): | Investing activity.
A company borrows $125,000 from the Eastside Bank and receives the loan proceeds in cash. This represents a(n): | Financing activity.
A company had inventory of 10 units at a cost of $20 each on November 1. On November 2, it purchased 10 units at $21 each. On November 6 it purchased 15 units at $25 each. On November 8, it sold 20 units for $54 each. Using the LIFO perpetual inventory method, what was the cost of the 20 units sold? | $480.
A company had inventory of 10 units at a cost of $20 each on November 1. On November 2, it purchased 10 units at $22 each. On November 6 it purchased 6 units at $25 each. On November 8, it sold 22 units for $54 each. Using the FIFO perpetual inventory method, what was the cost of the 22 units sold? | $470
A company had inventory of 5 units at a cost of $20 each on November 1. On November 2, it purchased 10 units at $22 each. On November 6 it purchased 6 units at $25 each. On November 8, it sold 18 units for $54 each. Using the LIFO perpetual inventory method, what was the cost of the 18 units sold? | $410
A company had inventory on November 1 of 5 units at a cost of $20 each. On November 2, they purchased 10 units at $22 each. On November 6 they purchased 6 units at $25 each. On November 8, 8 units were sold for $55 each. Using the LIFO | $276
A company had no office supplies available at the beginning of the year. During the year, the company purchased $250 of office supplies. On December 31, $75 of office supplies remained. How much should the company report as office supplies expense for the year? | $175
A company had the following purchases during the current year: Jan: 10 units at $ 120 Feb: 20 units at $130 | $3,800.
A company has $20,000 in outstanding accounts receivable and it uses the allowance method to account for uncollectible accounts. Experience suggests that 6% of outstanding receivables are uncollectible. The current debit balance (before adjustments) in the allowance for doubtful accounts is $800. The journal entry to record the adjustment to the allowance account includes a debit to Bad Debts Expense for: | $400
A company has inventory of 10 units at a cost of $10 each on June 1. On June 3, it purchased 20 units at $12 each. 12 units are sold on June 5. Using the FIFO periodic inventory method, what is the cost of ending inventories? | $216.
A company has inventory of 10 units at a cost of $10 each on June 1. On June 3, it purchased 20 units at $12 each. 12 units are sold on June 5. Using the FIFO perpetual inventory method, what is the cost of the 12 units that were sold? | $124
A company has inventory of 15 units at a cost of $2 each on August 1. On August 5, it purchased 10 units at $3 per unit. On August 12 it purchased 20 units at $4 per unit. On August 15, it sold 30 units. Using the FIFO perpetual inventory method, what is the value of the inventory at August 15 after the sale? | $60.
A company has inventory of 20 units at a cost of $12 each on August 1. On August 5, it purchased 10 units at $13 per unit. On August 12 it purchased 15 units at $14 per unit. On August 15, it sold 30 units. Using the FIFO periodic inventory method, what is the value of Cost of goods sold on August 15? | $370.
A company has sales of $350,000, Account Receivable of 50,000 and estimates that 0.7% of its sales are uncollectible. The estimated amount of bad debts expense is | $2,450.
A company might provide a service or product on credit. "On credit" implies that the cash payment will occur: | on a later date
A company must record its expenses incurred to generate the revenue reported.It is about: | Matching Principle
A company purchased a new truck at a cost of $42,000 on July 1, 2009. The truck is estimated to have a useful life of 6 years and a salvage value of $3,000. The company uses the straight-line method of depreciation. How much depreciation expense will be recorded for the truck for the year ended December 31, 2009? | $3,250.
A company purchased a plant asset for $45,000. The asset has an estimated salvage value of $6,000, and an estimated useful life of 10 years. The annual depreciation expense using the straight-line method is | $3,900 per year.
A company purchased new computers at a cost of $14,000 on October 1, 2010. The computers are estimated to have a useful life of 4 years and a salvage value of $2,000. The company uses the straight-line method of depreciation. How much depreciation expense will be recorded for the computers for the year ended December 31, 2010? | $750
A company purchased new computers at a cost of $28,000 on January 1, 2010. The computers are estimated to have a useful life of 5 years and have a salvage value of 3,000. The company uses the straight-line method of depreciation. How much depreciation expense will be recorded for the computers for the year ended December 31, 2010? | $5,000
A company used straight-line depreciation for an item of equipment that cost $12,000, had a salvage value of $2,000, and had a five-year useful life. What is the depreciation expense for one year? | $2000.
A company's Office Supplies account shows a beginning balance of $600 and an ending balance of $400. If office supplies expense for the year is $3,100, what amount of office supplies was purchased during the period? | $2,900.
A company's balance sheet shows: cash $22,000, accounts receivable $16,000, office equipment $50,000, and accounts payable $17,000. What is the amount of owner's equity? | $71,000.
A condition in which a company's expenses exceed its revenues. What does that mean: | A loss
A credit is used to record: | All of these.
A debit is used to record: | An increase in the balance of the owner's withdrawals account.
A debit is: | The left-hand side of a T-account.
A liability account that reports amounts received in advance of providing goods or services. It is about: | Unearned revenue
A method of valuing inventory in which the items acquired last are treated as the ones sold first. What is it? | LIFO
A method of valuing the cost of goods sold that uses the cost of the oldest items in inventory first. What is it? | FIFO
A record of financial transactions in order by date and often defined as the book of original entry. This statement is about: | A General journal
A simple account form widely used in accounting as a tool to understand how debits and credits affect an account balance is called a: | T-account.
A vehicle had an estimated useful life of 8 years. The vehicle cost $23,000 and its estimated salvage value is $1,500. The depreciation expense (using straight line method) for a year is: | $ 2687.50.
Acceptable inventory methods include: | All of these.
Accounts receivable refers: | Money which is owed to a company by a customer for products and services provided on credit
Accounts receivable that may become uncollectable and will be written off , is known as: | Bad debts
Acme-Jones Company uses a weighted-average perpetual inventory system. August 2, 8 units were purchased at $12 per unit. August 18, 15 units were purchased at $14 per unit. | $15.38.
Acme-Jones Corporation uses a weighted-average perpetual inventory system.  August 2, 10 units were purchased at $12 per unit. August 18, 15 units were purchased at $14 per unit. | $158.40.
Adjusting depreciation expense of fixed asset at $8,000. Recording this transaction: | Debit depreciation expense  $8,000 and credit  accumulated depreciation expense $,8000
Adjusting entries are journal entries made at the end of an accounting period for the purpose of: | All of these.
Adjusting entries: | Affect both income statement and balance sheet accounts.
After preparing and posting the closing entries to close revenues (and gains) and expenses (and losses) into the income summary, the income summary account has a debit balance of $33,000. The entry to close the income summary account will include: | A debit of $33,000 to owner capital.
All expenditures necessary to bring an item to a salable condition and location. This statement is the definition of: | Inventory costs
An account used to record the owner's investments in the business is called a(n): | Capital account.
An adjusting entry could be made for each of the following except: | Owner withdrawals. Owner capital. Cash. Account payable. Revenue. Cost of goods sold.
An asset created by prepayment of an expense is: | Recorded as a debit to a prepaid expense account.
An estimate of an asset's value at the end of its benefit period is called: | Salvage value
An example of a financing activity is: | Obtaining a long-term loan.
An example of an investing activity is | Purchase of land.
An example of an operating activity is: | Paying wages.
An overstatement of ending inventory will cause | An overstatement of assets and equity on the balance sheet.
Assets, liabilities, and equity accounts are not closed; these accounts are called: | Permanent accounts.
At the beginning of 2009, Beta Company's balance sheet reported Total Assets of $195,000 and Total Liabilities of $75,000. During 2009, the company reported total revenues of $226,000 and expenses of $175,000. Also, owner withdrawals during 2009 totaled $48,000. Assuming no other changes to owner's capital, the balance in the owner's capital account at the end of 2009 would be: | $123,000.
At the beginning of 2009, a company's balance sheet reported the following balances: Total Assets = $125,000; Total Liabilities = $75,000; and Owner's Capital = $50,000. During 2009, the company reported revenues of $46,000 and expenses of $30,000. In addition, owner's withdrawals for the year totaled $20,000. Assuming no other changes to owner's capital, the balance in the owner's capital account at the end of 2009 would be: | $46,000.
At the beginning of January of the current year, Thomas Law Center's ledger reflected a normal balance of $52,000 for accounts receivable. During January, the company collected $14,800 from customers on account and provided additional services to customers on account totaling $12,500. Additionally, during January one customer paid Thomas $5,000 for services to be provided in the future. At the end of January, the balance in the accounts receivable account should be: | $49.7
At the beginning of January of the current year, a Law company has a normal balance of $50,000 for accounts receivable. During January, the company collected $14,000 from customers and provided additional services to customers on account totaling $12,000. Additional, company used service of $ 1,000 on credit. At the end of January, the balance in the accounts receivable account should be: | $48,000.
Book value is equal to: | None of these
Borrow $ 1,000 loan to pay for new equipment of the company is recorded with: | Debit equipment and credit loan
Branz Company had credit sales during the current year which amounted to $700,000. Historically, 3% of credit sales are uncollectible. If Branz uses the allowance method of recording uncollectible accounts, a proper journal entry for the year would be: | Dr. Uncollectible Accounts Expense 21,000 Cr. Allow. for Uncollectible Accounts     21,000
Calculated as sales minus all costs directly related to those sales. It is about: | Gross profit
Cooley company has the balance in the accounts payable at the beginning of March was $1,000. During the month of March, Cooley company purchased from Dell company on account totaling $2,000. Also during this month, Cooley company paid $500 on its accounts payable for Dell company. In addition, Cooley company was paid $8,000 by a customer for services to be provided in the future. | $2,500
Costs included in the Merchandise Inventory account can include: | All of these.
Costs included in the Merchandise Inventory account can include: | Invoice price minus any discount, Transportation-in, Storage, Insurance
Decreases in equity that represent costs of assets or services used to earn revenues are called: | Expenses.
Depreciation is: | The assigning or allocating of a fixed asset�s cost to expense over the accounting periods that the asset is likely to be used.
Dina Kader withdrew a total of $35,000 from her business during the current year. The entry needed to close the withdrawals account is: | Debit Dina Kader, Capital and credit Dina Kader, Withdrawals for $35,000.
Distributions by a business to its owners are called: | Withdrawals
During a period of steadily rising costs, the inventory valuation method that yields the lowest reported net income is: | LIFO method.
During the month of February, Hoffer Company had cash receipts of $7,500 and cash disbursements of $8,600. The February 28 cash balance was $1,800. What was the January 31 beginning cash balance? | $2,900.
Electron borrowed $15,000 cash from TechCom by signing a promissory note. TechCom's entry to record the transaction should include a: | Debit to Notes Receivable for $15,000.
Ending inventory is equal to merchandise available for sale minus cost of goods sold. | Ending inventory is equal to merchandise available for sale minus cost of goods sold.
External users of accounting information exclude: | Manager
Flash had cash inflows from operations $62,500; cash outflows from investing activities of $47,000; and cash inflows from financing of $25,000. The net change in cash was: | $40,500 increase.
Flash has beginning equity of $257,000, net income of $51,000, withdrawals of $40,000 and investments by owners of $6,000. Its ending equity is: | $274,000.
Flynn Company uses an allowance method for recording uncollectible. At the due date of that account receivable, Flynn determined that $4,000 due from Mitchell will not be collected and should be write off. The entry Flynn should record to write off the Mitchell account is: | Dr. Allow. for Uncollectible Accounts 4,000 Cr. Accounts Receivable     4,000
Given the following information, determine the cost of the inventory at June 30 using the LIFO perpetual inventory method. June, 1: Beginning inventory 15 units at $20 each | $120.
Gross increases in equity from a company's earnings activities are: | Revenues.
Hefty Company wants to know the effect of different inventory methods on financial statements. Given below is information about beginning inventory and purchases for the current year.January 2 Beginning Inventory:  500 units at $3.00 April 7 Purchased :                   1,100 units at $3.20 June 30 Purchased :                     400 units at $4.00 December 7 Purchased :          1,600 units at $4.40 Sales during the year were 2,700 units at $5.00. If Hefty used the periodic LIFO method, | $10,880
How does Lead Company record by the billing of a client for $15,000 of service completed? | +$15,000 accounts receivable, +$15,000 revenue.
If Hussan, the owner of Hardware company, uses cash of the business to purchase a motorcycle for his travelling, the business should record this use of cash with an entry to: | Debit Withdrawals and credit Cash.
If Jones, the owner of Hardware company, uses cash of the business to purchase a family car, the business should record this use of cash with an entry to: | Debit Withdrawals and credit Cash.
If Smith, the owner of a restaurant, uses cash of the business to  pay for renting his house, the business should record this use of cash with an entry to: | Debit Withdrawals and credit Cash.
If Tim Jones, the owner of Jones Hardware proprietorship, uses cash of the business to purchase a family automobile, the business should record this use of cash with an entry to: | Debit Tim Jones, Withdrawals and credit Cash.
If accrued salaries were recorded on December 31 with a credit to Salaries Payable, the entry to record payment of these wages on the following January 5 would include: | A debit to Salaries Payable and a credit to Cash.
If assets are $365,000 and equity is $120,000, then liabilities are: | $245,000.
If equity is $300,000 and liabilities are $192,000, then assets equal: | $492,000.
If the liabilities of a business increased $75,000 during a period of time and the owner's equity in the business decreased $30,000 during the same period, the assets of the business must have: | Increased $45,000.
If throughout an accounting period the fees for legal services paid in advance by clients are recorded in an account called Unearned Legal Fees, the end-of-period adjusting entry to record the portion of those fees that has been earned is: | Debit Unearned Legal Fees and credit Legal Fees Earned.
Inventory accounts should be classified in which section of a balance sheet? | Current assets
Invested $10,000 cash, and $15,000 of computer equipment. Prepare journal entries to record the above transactions | Debit Cash $ 10,000 Debit Equipment $ 15,000 Credit Capital $25,000
J. Awn, the proprietor of Awn Services, withdrew $8,700 from the business during the current year. The entry to close the withdrawals account at the end of the year, is: | Debit capital $8,700 and credit withdrawal  $ 8,700
John set up a new business and completed these transactions: 1. Open new restaurant, by investing $30,000 cash and equipment valued at $10,000. 2. Purchased $1,000 of kitchen utility on credit. 3. Paid $1,500 cash for the staff�s salary. 4. Service meals to customers and collected$4,000 cash What was the balance of the cash account after these transactions were posted? | $32,500
John, the owner of Matt company, withdrew $8,000 from the business during the current year. The entry to close the withdrawals account at the end of the year, is: | Debit capital $8,000 and credit withdrawal  $ 8,000
Journal entries recorded at the end of each accounting period to prepare the revenue, expense, and withdrawals accounts for the upcoming period and to update the owner's capital account for the events of the period just finished are referred to as: | Closing entries.
Lomax Enterprises purchased a depreciable asset for $20,000 on January 1, 2008. The asset will be depreciated using the straight-line method over its four-year useful life. Assuming the asset's salvage value is $2,000, what will be the amount of accumulated depreciation on this asset on June 30, 2011? | $15750
Merchandise inventory includes: | All goods owned by a company and held for sale
Nelson Company purchased equipment on July 1 for $27,500 and decided to depreciate the equipment on the straight-line method over its useful life of five years. Assuming the equipment's salvage value is $3,500, the amount of monthly depreciation expense Nelson should recognize is: | $400
Net Income: | Is the excess of revenues over expenses.
Net Sales minus Cost of Goods Sold equals to: | Gross profit
Newton Company uses the allowance method of accounting for uncollectible accounts. On May 3, the Newton Company wrote off the $3,000 uncollectible account of its customer, P. Best. The journal entry on May 3 is: | Dr allowance for doubtful debts	3000
Of the following account types, which would be increased by a debit? | Assets and expenses.
Of the following accounts, the one that normally has a credit balance is: | Sales Salaries Payable.
Office supplies available at the beginning of the year are 0. During the year, the company purchased $250 of office supplies. On December 31, $90 of office supplies remained. How much should the company report as office supplies expense for the year? | $160
Office supplies available at the beginning of the year are 0. During the year, the company purchased $3000 of office supplies. On December 31,   $1000 of office supplies remained. Additional company�s insurance expense is $ 1000. How much should the company report as office supplies expense for the year? | $2000
On April 1, 2009, a company paid the $1,350 premium on a three-year insurance policy with benefits beginning on that date. What will be the insurance expense on the annual income statement for the year ended December 31, 2009? | $337.50.
On April 30, 2009, a three-year insurance policy was purchased for $18,000 with coverage to begin immediately. What is the amount of insurance expense that would appear on the company's income statement for the year ended December 31, 2009? | $4,000.
On April 30, Holden Company had an Accounts Receivable balance of $18,000. During the month of May, total credits to Accounts Receivable were $52,000 from customer payments. The May 31 Accounts Receivable balance was $13,000. What was the amount of credit sales during May? | $47,000.
On January 1 a company purchased a five-year insurance policy for $1,800 with coverage starting immediately. If the purchase was recorded in the Prepaid Insurance account, and the company records adjustments only at year-end, the adjusting entry at the end of the first year is: | Debit Insurance Expense, $360; credit Prepaid Insurance, $360.
On January 1, Southwest College received $1,200,000 in Unearned Tuition Revenue from its students for the spring semester, which spans four months beginning on January 2. What amount of tuition revenue should the college recognize on January 31? | $300,000.
On June 1, $800 of goods are sold with credit terms of 1/10, n/30. How much would the seller receive if the buyer pays on June 8? | 792
On June 1, 2010, The company paid $1,000 cash for the loan owing the bank before. Recording this transaction. | Credit cash and debit loan
On June 1, paid $200 cash for office supplies. Prepare journal entries to record the above transactions on June 1. | Debit office supplies $200 Credit Cash $ 200
On June 30, 2009, Apricot Co. paid $7,500 cash for a service that will be performed during two-year period.  On June 30, 2009 Apricot should record: | A debit to a prepaid expense for $7,500 and credit cash $ 7,500
On May 1, 2009 Giltus Advertising Company received $1,500 from Julie Bee for advertising services to be completed April 30, 2010. The Cash receipt was recorded as unearned fees and at December 31, 2009, $1,000 of the fees had been earned. The adjusting entry on December 31 Year 1 should include: | A credit to Earned Fees for $1,000.
On September 30, the Cash account of Value Company had a normal balance of $5,000. During September, the account was debited for a total of $12,200 and credited for a total of $11,500. What was the balance in the Cash account at the beginning of September? | A $4,300 debit balance.
Operating activities: | Involve using resources to research, develop, purchase, produce, distribute and market products and services.
Orange Company purchased equipment on July 1 for $28,500 and decided to depreciate the equipment on the straight-line method over its useful life of five years. Assuming the equipment's salvage value is $4,500, the amount of monthly depreciation expense Nelson should recognize is: | $400
PPW Co. leased a portion of its store to another company for eight months beginning on October 1, 2009, at a monthly rate of $800. This other company paid the entire $6,400 cash on October 1, which PPW Co. recorded as unearned revenue. The journal entry made by PPW Co. at year- end on December 31, 2009 would include: | A credit to Rent Earned for $2,400.
Prepaid expenses are: | Assets that represent prepayments of future expenses.
Prepaid expenses, depreciation, accrued expenses, unearned revenues, and accrued revenues are all examples of: | Items that require adjusting entries.
Prepare general journal entries to record the March 16 sale assuming a cash sale and the FIFO method is used. | March 16 Dr 	Cash	640 Cr 	Sale revenue	640
Prepare the general journal entry to record the March 16 sale assuming a cash sale and the LIFO method is used: | Dr 	Cash	640 Dr 	COGS	480
Prepare the general journal entry to record the March 16 sale assuming a cash sale and the weighted average method is used. | Dr 	Cash	640 Dr 	COGS	 430
Prior to recording adjusting entries, the Office Supplies account had a $359 debit balance. A physical count of the supplies showed $105 of unused supplies available. The required adjusting entry is: | Debit Office Supplies Expense $254 and credit Office Supplies $254.
Provide descriptions for this transaction: Debit expense $2,000 and Credit supplies  $2,000 | Used supplies
Provide descriptions for this transaction:Credit cash $ 2,000 and Debit Account Payable $ 2,000 | Paid accounts payable.
Provide descriptions for this transaction:Credit cash and debit owner equity | Withdrawal of cash from business by owner for personal use or paid expense of business
Provide descriptions for this transaction:Credit supplies $ 2,000 and Debit expense $ 2,000 | Used supplies in business worth of $ 2,000
Provide descriptions for this transaction:Debit Cash  $8,000 and credit  Unearned revenue  $,8000 | Received payment in advance from customers by cash $8,000
Provide descriptions for this transaction:Debit cash $ 5,000 and Credit Account Receivable $5,000 | Received cash for an account receivable.
Provide descriptions for this transaction:Debit insurance expense  $8,000 and credit  Insurance - prepaid expense  $,8000 | Adjusting prepaid expense at the end of period $8,000
Provide descriptions for this transaction:Debit inventory $8,000 and credit  cash $,8000 | Buying inventory by cash $8,000
Provide descriptions for this transaction:Debit inventory $8,000 and credit  liability $,8000 | Buying inventory on credit $8,000
Provide descriptions for this transaction: Increase cash $4,000 and Increase CONTRIBUTED CAPITAL $4000 | Investment of cash in business by owner
Provide descriptions for this transaction:Debit office supplies $2,000 and credit  liability $,2000 | Buying office supplies on credit $2,000
Provide descriptions for this transaction:Debit supplies $1,000 and Credit Account Payable $1,000 | Purchased supplies on credit.
Provide descriptions for this transaction:Debit unearned revenue  $8,000 and credit  revenue  $8,000 | Adjusting unearned revenue at the end of period $8,000
Provide descriptions for this transaction: Decrease cash $3500 and Decrease equity $3500 | Withdraw cash from the business by owner or paid cash for an expense
Realistic Company purchased a new truck on January 1, 20X1. The truck cost $20,000, has a four-year life, and a $4,000 residual value. The company has a December 31 year-end. If Realistic Company depreciates the truck by the straight-line method, how much should Realistic report as the book value of the truck at the end of 20X3? | $8,000
Reflects assumption that the business will continue operating instead of being closed or sold. It is about: | Going-Concern Assumption
Repayment of the loan for the bank $ 2,000 cash | Credit cash, debit loan
Resources owned or controlled by a company that are expected to yield future benefits are: | Assets.
Revenues, expenses, and withdrawals accounts, which are closed at the end of each accounting period are: | Temporary accounts.
Selling 1,000 products for a customer and collected $2,000 cash. Recording this transaction: | Debit Cash $ 2,000 and credit Revenue $2,000
Selling products for cash $300 and $700 on credit. Show the general journal entry to record this transaction. | Debit Cash $ 300Debit Account Receivable $700 Credit Revenue $1,000
Something of value that cannot be physically touched, such as a brand, franchise, trademark, or patent is the definition of: | Intangible assets
Tangible  assets include: | All of these.
Taylor Company uses the direct write-off method of recording uncollectible accounts receivable. Recently, a customer informed Taylor that he would be unable to pay $300 owed to Taylor. Taylor's proper journal entry to reflect this event would be: | Dr. Uncollectible Accounts Expense 300
Textron Stores purchased a van that cost $35,000. The firm made a payment of $5,000 cash and the balance on credit. Show the general journal entry to record this transaction. | Debit Van $35,000 Credit Cash $5,000 Credit Account payable $30,000
The Income Summary account is used: | To close the revenue and expense accounts.
The Income Summary account is: | Temporary account that need to be closed at the end of accounting period.
The J. Godfrey, Capital account has a credit balance of $17,000 before closing entries are made. If total revenues for the period are $55,200, total expenses are $39,800, and withdrawals are $9,000, what is the ending balance in the J. Godfrey, Capital account after all closing entries are made? | $23,400.
The account used to record the transfers of assets from a business to its owner (personal use) is: | The owner's withdrawals account.
The accounting assumption that requires every business to be accounted for separately from other business entities, including its owner or owners is known as the: | Business entity assumption.
The accounting principle that requires accounting information to be based on actual cost instead of current value, is the: | Cost principle.
The accounting principle that requires revenue to be reported when earned is the: | Revenue recognition principle.
The adjusting entry to record the earned but unpaid salaries of employees at the end of an accounting period is: | Debit Salaries Expense and credit Salaries Payable.
The amount due on the maturity date of a $12,000, 60-day 8%, note receivable is: | $12,160.
The approach to preparing financial statements based on recognizing revenues when they are earned and matching expenses to those revenues is: | Accrual basis accounting.
The assets of a company total $700,000; the liabilities, $200,000. What are the claims of the owners? | $500,000.
The balance in Tee Tax Services' office supplies account on February 1 and February 28 was $1,200 and $375, respectively. If the office supplies expense for the month is $1,900, what amount of office supplies was purchased during February? | $1,075
The business completed these transactions: 1. Investing $20,000 cash and a building valued at $100,000. 2. Purchased $10,000 of a truck on credit. 3. Paid $20,000 cash for raw material. 4. Selling products and collected$40,000 cash. What was the balance of the cash account after these transactions were posted? | $40,000
The buyer is responsible for the costs of shipping when goods are sold with the terms FOB | Shipping point
The company buys a new building for personal use is recorded with below entry: | Credit cash and debit withdrawal
The company buys a new car for personal use is recorded with below entry: | Credit cash and debit withdrawal
The company has $1679 credit sales at year end. Experiences show that 4% of credit sales may not be collectable. What is the estimated bad debt expense to be record at year end? | $67.16
The company has no office supplies available at the beginning of the year. During the year, the company purchased $500 of office supplies on credit. On December 31, there is $100 of office supplies remained. How much should the company report for the year as office supplies expense? | $400
The difference between a company's assets and its liabilities is: | Equity
