Which of the following is the intangible value? | Customer influence
After an incident has been verified, you need to ensure that it doesn't spread to other systems. What Is this called? | Containment
What is the greatest risk loan organization when peer-to-peer software is installed on a user's system? | Data leakage
What is the second step of the incident response life cycle? | detection and analysis
Several types of malicious code exist. What is malware that appears to be one thing but is actually something else? | Trojan horse
Attackers attempt a DoS attack on servers in your organisation. The CIRT responds and mitigates the attack. What should be the last step that the CIRT will complete in response to this incident? | Document the Incident.
An administrator has discovered that a Web server is responding very slowly investigation shows that the processor, memory and network resources are being consumed by outside attackers. What type of this attack? | DoS or DDoS
A user has installed P2P software on a system. The organization's policy specifically states this is unauthorized. An administrator discovered the software on the user's system. Is this a computer security incident? If so, what type? | This is a form of inappropriate usage.
A company decides to reduce losses of a threat by purchasing insurance. The way it is kind of risk management techniques of the following? | Transfer
A business impact analysis (BIA) includes a maximum allowable outage (MAO). The MAO is used to determine the amount of time in which a system must be recovered. What term is used in the DRP instead of the MAO? | RTO
Which of the following is NOT the risk management technique? | Prevent
Which of the following best describes separation of duties and job rotation? | Separation of duties ensures that one person cannot perform a high-risk task alone, and job rotation can uncover fraud and ensure that more than one person knows the tasks of a position.
You are considering an alternate location for a DRP. You want to ensure the alternate location can be brought online as quickly as possible. What type of site would you choose? | Hot site
You have applied controls to minimize risk in the environment. What is the remaining risk called? | Residual risk
You are considering using a hot site as an alternate location. You want to consider different technologies to keep the data updated and decrease the time it will take for the hot site to become operational. What are some technologies that may help? | All of these
If the benefits outweigh the cost, a control is implemented. Costs and benefits are identified by completing one which of the following work? | Cost/benefit analysis
A DMZ, or demilitarized zone, is used in a networking context for what primary purpose? | To allow systems in the DMZ to be easily accessed by Internet users
A major disruption has forced you to move operations to an alternate location. The disruption is over and you need to begin normalizing operations. You have rebuilt several servers at the primary location. What should you do? | Run the servers concurrently with the alternate location for three to five days.
Why should employers make sure employees take their vacations? | It is a way for fraud to be uncovered
What can you do to show that the BCP will work as planned? | BCP testing
If a programmer is restricted from updating and modifying production code, what is this an example of? | Separation of duties
After a BCP has been activated, who will assess the damages? | DAT
What are the three phases of a BCP? | Activation/notification, recovery, reconstitution
Laura and her team are diligently working on a company-wide risk assessment initiative. At the conclusion of her team's work, all of the following goals could be met, except: | Countermeasures have been put into place and communicated to the appropriate personnel.
Larry is in charge of presenting risk assessment calculations to his boss by the end of the week. He concludes that a server with heavy traffic has an annualized loss expectancy (ALE) of $15,000 with an annualized rate of occurrence (ARO) of 5. What is the server's single loss expectancy (SLE) value? | $3,000
The BIA is a part of | BCP
What type of approach does a BIA use? | Bottom-up approach where servers or services are examined first
What could a password policy include? | Length of password
In the CMMI, which of the following level indicates the highest level of maturity? | Level 5
What will the scope of a risk management plan define? | Boundaries
You have identified the MAO for a system. You now want to specify the time required for a system to be recovered. What is this? | Recovery time objectives
Of the following, what is NOT included in a cost-benefit analysis report? | POAM
Which of the following is NOT valid contents of a risk management plan? | Controls
Which of the following is NOT included in the objectives of a risk management plan? | A customer list
You are evaluating two possible countermeasures to mitigate the risk. Management only wants to purchase one. What can you use to determine which countermeasure provides the best cost benefits? | CBA
What problem can occur if the scope of a risk management plan is not defined? | Scope creep
Of the following, what would be considered a best practice when performing risk assessments? | All of these
What can be used to remind users of the contents of the AUP? | Logon banners
What is the ROI? | The benefit to the investor resulting from an investment of some resource
What must you define when performing a qualitative risk assessment? | Scales used to define probability and impact
Which of the strategies below can help to reduce security gaps even if a security control fails? | Defense in depth
What is an SLE? | A dollar figure that is assigned to a single event
If your organization is governed by FISMA. What is one of the important issues to understand first? | requires different procedures for government agencies to purchase and deploy systems
Which choice MOST closely depicts the difference between qualitative and quantitative risk analysis? | A quantitative RA uses less guesswork than a qualitative RA
What is a proximity card? | Card will activate when it is close to a proximity reader
Which best describes System and Services Acquisition (SA) control? | Controls related to the purchase of products and services, to software usage and user installed software
Risk assessment is not always met with open arms by management for all of the following reasons except: | Due care and due diligence
Which best describes technical controls? | Software tools that automate protection
What is "five nine"? | 99.999 percent up time for certain services
What is NOT a technical control? | Program Management (PM)
What is the first step in an exploit assessment? | Vulnerability test
When performing exploit assessments, best practice is: | Identify as many exploits as possible
Intellectual Property is an example of | Data and information assets
A program that receives too much data so that it cannot execute instructions properly has been exploited by which of the following attacks? | Buffer overflow
1. Which one of the following properly defines risk? | D. Threat x Vulnerability
2. Which one of the following properly defines total risk? | B. Threat x Vulnerability x Asset Value
3. You can completely eliminate risk in an IT environment. | B. False
4. Which of the following are accurate pairings of threat categories? (Select two.) | A External and internal, Intentional and accidental
5. A loss of client confi dence or public trust is an example of a loss of | a. intangible value.
6. A is used to reduce a vulnerability. | a. control
7. As long as a company is profitable, it does not need to consider survivability. | B. False
8. What is the primary goal of an information security program? | D. Reduce losses related to loss of confi dentiality, integrity, and availability
9. The is an industry-recognized standard list of common vulnerabilities. | a. CVE (Common Vulnerabilities and Exposures)
10. Which of the following is a goal of a risk management? | A. Identify the correct cost balance between risk and controls
11. If the benefits outweigh the cost, a control is implemented. Costs and benefits are identified by completing a | a. CBA (Cost/Benefit Analysis).
12. A company decides to reduce losses of a threat by purchasing insurance. This is known as risk | a. transfer.
13. What can you do to manage risk? (Select three.) | A. Accept, Transfer, Avoid
14. You have applied controls to minimize risk in the environment. What is the remaining risk called? | D. Residual risk
15. Who is ultimately responsible for losses resulting from residual risk? | C. Senior management
1. What is a security policy? | D. A document created by senior management that identifi es the role of security in the organization
2. You want to ensure that users are granted only the rights to perform actions required for their jobs. What should you use? | A. Principle of least privilege
3. You want to ensure that users are granted only the permissions needed to access data required to perform their jobs. What should you use? | B. Principle of need to know
4. Which of the following security principles divides job responsibilities to reduce fraud? | C. Separation of duties
5. What can you use to ensure that unauthorized changes are not made to systems? | D. Configuration management
6. What are two types of intrusion detection systems? | C. Host-based and network-based
7. A technical control prevents unauthorized personnel from having physical access to a secure area or secure system. | B. False
8. What allows an attacker to gain additional privileges on a system by sending unexpected code to the system? | A. Buffer overflow
9. What is hardening a server? | A. Securing it from the default configuration
10. Which of the following steps could be taken to harden a server? | E. All of the above
11. Which government agency includes the Information Technology Laboratory and publishes SP 800-30? | A. NIST
12. ITL and ITIL are different names for the same thing. | B. False
13. Which U.S. government agency regularly publishes alerts and bulletins related to security threats? | C. US-CERT
14. The CVE list is maintained by | a. MITRE Corporation.
15. What is the standard used to create Information Security Vulnerability names? | A. CVE
FISMA requires federal agencies to protect IT systems and data. How often should compliance be audited by an external organization? | C. Annually
What law applies to organizations handling health care information? | D. HIPAA
CEOs and CFOs can go to jail if financial statements are inaccurate. What law is this from? | A. SOX
What law requires schools and libraries to limit offensive content on their computers? | C. CIPA
Employees in some companies are often required to take an annual vacation of at least five days. The purpose is to reduce fraud and embezzlement. What is this called? | B. Mandatory vacation
6. Fiduciary refers to a relationship of trust. | A. True
7. Merchants that handle credit cards are expected to implement data security. What standard should they follow? | D. PCI DSS
8. The National Institute of Standards and Technology published Special Publication 800-30. What does this cover? | A. Risk management
9. The COBIT framework is organized into four IT domains and 34 IT processes. Which one covers strategy and tactics? | A. Plan and Organize
10. A basic principle of this standard is summarized with four sentences: Business requirements drive investments in IT resources. IT resources are used by IT processes. IT processes deliver enterprise information. Enterprise information responds to business requirements. What is this standard? | A. COBIT
11. Which of the following ISO standards can be used to verify that an organization meets certain requirements? Part I identifi es objectives and controls. Part II is used for certifi cation. | B. ISO 27002 Information Technology Security Techniques
12. Which of the following ISO documents provides generic guidance on risk management? | C. ISO 31000 Risk Management Principles and Guidelines
13. ITIL is a group of five books developed by the United Kingdom's Office of Government Commerce. | A. True
14. In the CMMI, level indicates the highest level of maturity. | 5
15. The DIACAP is a risk management process applied to IT systems. What happens after a system is accredited? | D. It receives authority to operate.
1. What are valid contents of a risk management plan? | E. All of the above
2. What should be included in the objectives of a risk management plan? | E. All of the above
3. What will the scope of a risk management plan define? | D. Boundaries
4. What problem can occur if the scope of a risk management plan is not defined? | C. Scope creep
5. What is a stakeholder? | B. An individual or group that has an interest in the project
6. A key stakeholder should have authority to make decisions about a project. This includes authority to provide additional resources. | A. True
7. A risk management plan project manager oversees the entire plan. What is the project manager responsible for? (Select two.) | A. Ensuring costs are controlled, Ensuring the project stays on schedule
8. A risk management plan includes steps to mitigate risks. Who is responsible for choosing what steps to implement? | B. Management
9. A risk management plan includes a list of findings in a report. The findings identify threats and vulnerabilities. What type of diagram can document some of the findings? | D. Cause and effect diagram
10. What three elements should be included in the findings of the risk management report? | A. Causes, criteria, and effects
11. What is a primary tool used to identify the financial significance of a mitigation tool? | C. CBA
12. A fishbone diagram can link causes with effects. | A. True
13. You present management with recommendations from a risk management plan. What can management choose to do? | C. Accept, defer, or modify the recommendations.
14. What is a POAM? | D. Plan of action and milestones
15. A POAM is used to track the progress of a project. What type of chart is commonly used to assist with tracking? | C. GANTT chart
What can you use to help quantify risks? | E. All of the above
16. A risk is a major component of a risk management plan. | a. assessment
17. Risk assessments are a continuous process. | B. False
18. A uses SLE. | a. quantitative risk assessment
19. What elements are included in a qualitative analysis? | C. Probability and impact
20. What elements are included in a quantitative analysis? | A. SLE, ALE, ARO
21. Qualitative analysis is more time consuming than quantitative analysis. | B. False
22. You are trying to decide what type of risk assessment methodology to use. A primary benefit of a risk assessment is that it can be completed quicker than other methods. | a. qualitative
23. You are trying to decide what type of risk assessment methodology to use. A primary benefit of a risk assessment is that it includes details for a cost-benefit analysis. | a. quantitative
24. What must you define when performing a qualitative risk assessment? | B. Scales used to define probability and impact
25. A risk assessment is objective. It uses data that can be verified. | a. quantitative
26. A risk assessment is subjective. It relies on the opinions of experts. | a. qualitative
27. One of the challenges facing risk assessments is getting accurate data. What can be included in the risk assessment report to give an indication of the reliability of the data? | D. Uncertainty level
28. You are working on a qualitative risk assessment for your company. You are thinking about the final report. What should you consider when providing the results and recommendations? (Select two.) | A. Resource allocation, Risk acceptance
29. Of the following, what would be considered a best practice when performing risk assessments? | E. All of the above
1. You are beginning an RA for a system. You should define both the operational characteristics and the mission of the system in the early stages of the RA. | A. True
2. Which of the following should you identify during a risk assessment? | E. All of the above
3. Of the following choices, what would be considered an asset? | E. All of the above
4. When defi ning the system for the risk assessment, what should you ensure is included? | B. The current confi guration of the system
5. What can you use to identify relevant vulnerabilities? | E. None of the above
6. Which type of assessment can you perform to identify weaknesses in a system without exploiting the weaknesses? | A. Vulnerability assessment
7. An acceptable use policy is an example of an security control. | a. administrative
8. Your organization requires users to log on with smart cards. This is an example of a security control. | a. technical
9. You use video cameras to monitor the entrance of secure areas of your building. This is an example of a security control. | a. physical
10. Which of the following should you match with a control to mitigate a relevant risk? | C. Threat/vulnerability pair
11. What does a qualitative RA use to prioritize a risk? | A. Probability and impact
12. What does a quantitative RA use to prioritize a risk? | B. SLE, ARO, and ALE
13. Your organization purchased a control and installed it on several servers. This control is consuming too many server resources, and the servers can no longer function. What was not evaluated before the control was purchased? | B. The operational impact of the control
14. What is included in an RA that helps justify the cost of a control? | C. CBA
15. What is created with a risk assessment to track the implementation of the controls? | B. POAM
16. 1. It is possible to ensure a service is operational 99.999 percent of the time even if a server needs to be regularly rebooted. | A. True
17. 2. What is a single point of failure? | B. Any single part of a system that can cause the entire system to fail, if it fails
18. 3. When identifying the assets you have in your organization, what would you include? | E. A, B, and C
19. 4. When identifying hardware assets in your organization, what information should you include? | E. A, B, and C
20. 5. An organization may use a rotation policy to help discover dangerous shortcuts or fraudulent activity. | a. Job
21. 6. What type of data should be included when identifying an organization's data or information assets? | E. A, B, and C
22. 7. What is a data warehouse? | C. A database created by combining multiple databases into a central database
23. 8. What is data mining? | A. The process of retrieving relevant data from a data warehouse
24. 9. You are reviewing your organization's asset management data. You want to ensure that all elements of the organization are included. What can you compare the asset management system against to ensure the entire organization is covered? | D. The seven domains of a typical IT infrastructure
25. 10. You are tasked with updating your organization's business continuity plans. When completing this process, you should only include systems. | a. control or countermeasure
26. 11. What can you use to transfer risk associated with potential disasters? | D. Insurance
27. 12. An organization wants to determine what the impact will be if a specific IT server fails. What should they use? | A. BIA
28. 13. An organization wants to ensure they can continue mission-critical operations in the event of a disaster. What should they use? | B. BCP
29. 14. An organization wants to ensure they can recover a system in the event of a disaster. What should they use? | C. DRP
30. 15. A BCP and DRP are the same thing. | B. False
1. A will reduce or eliminate a threat or vulnerability. | control or countermeasure
2. Controls can be identified based on their function. The functions are preventative, detective, and corrective. | A. True
3. What are the primary objectives of a control? | C. Prevent, recover, detect
4. What type of control is an intrusion detection system (IDS)? | B. Detective
5. NIST SP 800-53 identifies controls in three primary classes. What are they? | D. Technical, Operational, and Management
6. A(n) control is used to ensure that users have the rights and permissions they need to perform their jobs, and no more. | access
7. Logon identifiers help ensure that users cannot deny taking a specific action such as deleting a file. What is this called? | C. Non-repudiation
8. What should you use to ensure that users understand what they can and cannot do on systems within the network? | C. Rules of behavior
9. What can be used to ensure confidentiality of sensitive data? | A. Encryption
10. What should be logged in an audit log? | D. Who, what, when, and where details of an event
11. Your organization wants to issue certificates for internal systems such as in internal Web server. You'll need to install a to issue and manage certificates. | certification authority (CA)
12. Which of the following is an administrative control? | D. DRP
13. Which of the following is a technical control? | A. PKI
14. Which of the following is a physical control? | B. CCTV
15. A PTZ camera is used within a CCTV system. It can pan, tilt, and zoom. | A. True
1. A is used to identify the impact on an organization if a risk occurs. | business impact analysis (BIA)
2. MAO is the minimal acceptable outage that a system or service can have before affecting the mission. | B. False
3. Your organization wants to have an agreement with a vendor for an expected level of performance for a service. You want to ensure that monetary penalties are assessed if the minimum uptime requirements are not met. What should you use? | C. SLA
4. What can be used to help identify mission-critical systems? | B. Critical business functions
5. What can be used to remind users of the contents of the AUP? | D. All of the above
6. Routers have to control what traffic is allowed through them. | access control lists (ACLs)
7. Which of the strategies below can help to reduce security gaps even if a security control fails? | C. Defense in depth
8. How much can an organization be fined in a year for mistakes that result in noncompliance? | C. $25,000
9. What determines if an organization is governed by FISMA? | D. If it is a federal agency
10. What determines if an organization is governed by HIPAA? | B. If employees handle health-related information
11. What determines if an organization is governed by SOX? | A. If it is registered with the Securities and Exchange commission
12. What determines if an organization is governed by CIPA? | C. If it receives E-Rate funding
13. You've performed a CBA on a prospective control. The CBA indicates the cost of the control is about the same as the projected benefits. What should you do? | A. Identify the ROI.
14. Which of the following is a valid formula used to identify the projected benefits of a control? | B. Loss before control - loss after control
15. A CBA can be used to justify the purchase of a control. | A. True
1. A(n) countermeasure has been approved and has a date for implementation. | in-place
2. A single risk can be mitigated by more than one countermeasure. | A. True
3. The formula for risk is Risk = | Threat x Vulnerability.
4. What would an account management policy include? | E. All of the above
5. What could a password policy include? | A. Length of password
6. The plan will include details on how and when to implement approved countermeasures. | mitigation
7. You are reviewing a countermeasure to add to the mitigation plan. What costs should be considered? | E. All of the above
8. Which of the following are considered facility costs for the implementation of a countermeasure? | C. Power and air conditioning
9. An account management policy needs to be created as a mitigation countermeasure. You will write the policy. What's a reasonable amount of time for this to be completed and approved? | C. One month
10. What can you use to determine the priority of countermeasures? | B. Threat/vulnerability matrix
11. A risk assessment was completed three months ago. It has recently been approved, and you're tasked with implementing a mitigation plan. What should you do first? | A. Verify risk elements.
12. You are evaluating two possible countermeasures to mitigate the risk. Management only wants to purchase one. What can you use to determine which countermeasure provides the best cost benefits? | C. CBA
13. You are performing a cost-benefit analysis. You want to determine if a countermeasure should be used. Which of the following formulas should you apply? | C. Projected benefits - Cost of countermeasure
14. Of the following, what should be included in a cost-benefit analysis report? | F. All of the above
15. A POAM can be used to follow up on a risk mitigation plan. | A. True
1. The identifies the maximum acceptable downtime for a system. | Maximum acceptable outage (MAO)
2. Stakeholders can determine what functions are considered critical business functions. | A. True
3. The BIA is a part of the | Business continuity plan (BCP).
4. What defines the boundaries of a business impact analysis? | D. Scope
5. What are two objectives of a BIA? (Select two.) | C. Identify critical resources, Identify critical business functions.
6. You are working on a BIA. You are calculating costs to determine the impact of an outage for a specific system. When calculating the costs, you should calculate the direct and | indirect costs.
7. You are working on a BIA. You want to identify the maximum amount of data loss an organization can accept. What is this called? | D. Recovery point objectives
8. You have identified the MAO for a system. You now want to specify the time required for a system to be recovered. What is this? | C. Recovery time objectives
9. Which of the following statements is true? | B. The RTO applies to any systems or functions. However, the RPO only refers to data housed in databases.
10. You are working on a BIA. You are calculating costs to determine the impact of an outage for a specific system. Which one of the following is a direct cost? | C. Loss of sales
11. What type of approach does a BIA use? | B. Top-down approach where CBFs are examined first
12. Mission-critical business functions are considered vital to an organization. What are they derived from? | A. Critical success factors
13. You are performing a BIA for an organization. What should you map the critical business functions to? | D. IT systems
14. Of the following choices, what are considered best practices related to a BIA? | D. A and B only
15. A cost-benefit analysis is an important part of a BIA. | B. False
1. A(n) is a plan that helps an organization continue to operate during and after a disruption or disaster. | business continuity plan (BCP)
2. Business continuity and disaster recovery is the same thing. | B. False
3. You want to ensure that a BCP includes specific locations, systems, employees, and vendors. You should identify these requirements in the | scope statement.
4. What is the purpose of a BCP? | C. To ensure mission-critical elements of an organization continue to operate after a disruption
5. What does a BCP help to protect during and after a disruption or disaster? | D. Confidentiality, integrity, and availability
6. The is responsible for declaring an emergency and activating the BCP. | BCP coordinator
7. After a BCP has been activated, who has overall authority for the recovery of systems? | A. EMT
8. After a BCP has been activated, who will assess the damages? | C. DAT
9. After a BCP has been activated, who will recover and restore critical IT services? | D. TRT
10. What are the three phases of a BCP? | B. Activation/notification, recovery, reconstitution
11. A major disruption has forced you to move operations to an alternate location. The disruption is over and you need to begin normalizing operations. What operations should you move back to the original location first? | A. Least critical business functions
12. A major disruption has forced you to move operations to an alternate location. The disruption is over and you need to begin normalizing operations. You have rebuilt several servers at the primary location. What should you do? | C. Run the servers concurrently with the alternate location for three to five days.
13. What can you do to show that the BCP will work as planned? | C. BCP testing
14. What types of exercises can demonstrate a BCP in action? (Select three.) | A. Tabletop exercises, Functional exercises, Full-scale exercises
15. Once a BCP has been developed, it should be reviewed and updated on a regular basis, such as annually. | A. True
1. A(n) is a plan used to restore critical business functions to operation after a disruption or disaster. | disaster recovery plan (DRP)
2. A DRP has multiple purposes. This includes saving lives, ensuring business continuity, and recovering after a disaster. | A. True
3. Disaster recovery and fault tolerance are the same thing. | B. False
4. A is an element necessary for success. For example, the success of a DRP depends on elements such as management support and a disaster recovery budget. | critical success factor (CSF)
5. A business impact analysis (BIA) includes a maximum allowable outage (MAO). The MAO is used to determine the amount of time in which a system must be recovered. What term is used in the DRP instead of the MAO? | D. Recovery time objective (RTO)
6. A certain DRP covers a system that hosts a large database. You want to ensure that the data is copied to an off-site location. What could you use? | D. All of the above
7. A copy of backups should be stored off-site to ensure the organization can survive a catastrophic disaster to the | primary location.
8. You are considering an alternate location for a DRP. You want to minimize costs for the site. What type of site would you choose? | A. Cold site
9. You are considering an alternate location for a DRP. You want to ensure the alternate location can be brought online as quickly as possible. What type of site would you choose? | C. Hot site
10. You are considering an alternate location for a DRP. You want to use a business location that is already running non-critical business functions as the alternate location. This location has most of the equipment needed. What type of site is this? | B. Warm site
11. Which of the following elements are commonly included in a DRP? | C. Purpose, scope, communications, recovery steps and procedures
12. You are considering using a hot site as an alternate location. You want to consider different technologies to keep the data updated and decrease the time it will take for the hot site to become operational. What are some technologies that may help? | D. All of the above
13. Of the following, what is critical for any DRP? | B. Budget
14. Your organization has created a DRP but it hasn't been tested. Which of the following methods can you use to test it? | D. All of the above
15. Once a DRP has been created, it's not necessary to update it. | B. False
1. A(n) is a violation of a security policy or security practice. | computer incident or computer security incident
2. All events on a system or network are considered computer security incidents. | B. False
3. An administrator has discovered that a Web server is responding very slowly. Investigation shows that the processor, memory, and network resources are being consumed by outside attackers. This is a | Denial of service (DoS) or distributed DoS (DDoS) attack.
4. A user has installed P2P software on a system. The organization's policy specifically states this is unauthorized. An administrator discovered the software on the user's system. Is this a computer security incident? If so, what type? | B. This is a form of inappropriate usage.
5. Some malware can execute on a user's system after the user accesses a Web site. The malware executes from within the Web browser. What type of malware is this? | D. Mobile code
6. A malicious virus is replicating and causing damage to computers. How do security professionals refer to the virus? | D. In the wild
7. What is the greatest risk to an organization when peer-to-peer software is installed on a user's system? | C. Data leakage
8. Only police or other law enforcement personnel are allowed to do computer forensics investigations. | B. False
9. A log has shown that a user has copied proprietary data to his computer. The organization wants to take legal action against the user. You are tasked with seizing the computer as evidence. What should you establish as soon as you seize the computer? | D. Chain of custody
10. Many steps are taken before, during, and after an incident. Of the sfollowing choices, what accurately identifies the incident response life cycle? | C. Preparation, detection and analysis, containment, eradication and recovery, and post-incident recovery
11. In general, it's acceptable for members of a CIRT to take actions to attack attackers. This is one of the normal responsibilities of a CIRT. | B. False
12. After an incident has been verified, you need to ensure that it doesn't spread to other systems. What is this called? | B. Containment
13. Which of the following may be included in a CIRT plan? | E. All of the above
14. Attackers attempt a DoS attack on servers in your organization. The CIRT responds and mitigates the attack. What should be the last step that the CIRT will complete in response to this incident? | C. Document the incident.
15. Several types of malicious code exist. Malware that appears to be one thing but is actually something else is | a Trojan horse.
Which of the following is an example of operational control? | Audit and Accountability
Which of the following information is not provided threat model? | Threat controls
What is the responsible of risk management PM? | Tracking and managing project issues
What is the RTO? | The time when a system or function must be recovered
At the suggestion of NIST SP 800... | Noticeably affect
Which of the following is not consideration when developing the mitigation plan? | Time to approve the
Business continuity plans address all of the following except. | The protection...
When identify assets, your asset inventory could have resulted in the high priority with | network in...
The risk management plan specifies responsibilities. You can assigh res.... | Staffs and cus...
Which correct describes the audit trail? | It is series of events recor...
What is the greatest risk loan organization when peer to peer.... | Data leakage
After an incident has been verified, you need to ensure that it doesn't spread to other system | Containment
Which of the following elements is commonly included in any CBA report | Risk to be migigated
Which of the following has an incorrect definition assigned to the term? | Baseline = a description...
What does ELT stand for? | Extract, load and Transform
What would be an appropriate difference between a qualitative and a quantitative risk analysis? | Qualitative is a......
There are the major categories of reporting requirements except | BIA report
Although these threats are unintentional, you can address them with a risk management plan. Which of the following is a method do that? | managing environmental threats
What is the second step of a BIA process? | Identify stakeholders
What is a certification authority (CA)? | It issues and manages cer
Which is the most valuable technique when determining if a specific security control should be implemented? | Cost benefits analysis
Which of the following is critical success factor of the DRP? | Knowledge and authority
Business processes can survive whithout he business functions for one or more days. What is this impact value level? | Level 3
When review the previous findings, the items especially worth investigating are all except | Obsolete propsals
A company issues laptop computers to employess... | 4500
Before progressing with the RA, you need to complete which of the following actions? | Define the assessment
QN=1 What is NOT an example of computer systems? | a. Routers
QN=2 Nimda virus is an example of _______. | a. Buffder overflow
QN=3 Which one is the last phase in DIACAP? | a. Decommission
QN=4 Scope creep comes from ________ changes. | a. uncontrolled
QN=5 What is a benefit of quantitative analysis? | a. Data can easily be used in a CBA
QN=6 A small organization may perform a risk assessment for many systems at the same time. | a. True
QN=7 "Create plan to maintain operation" is a step in: | a. Business Continuity Planning
QN=8 Hardware assets are the assets you just can see it with your eyes. | a. False
QN=9 ______ attempts to exploit vulnerabilities. | a. Penetration test
QN=10 Fire suppression systems vary depending on the type of fire. How many classes of fires? | a. 4
QN=11 ______ has 6 principles and 12 requirements. | a. PCI DSS
QN=12 RTO would be __________ than the MAO. | a. Equal to or less
QN=13 Who has overall authority for recovery of the system? | a. Emergency management team (EMT)
QN=14 A hot site will be able to assume operations within days and sometimes within hours. | a. False
QN=15 What is using network load balancing? | a. Web farm
QN=16 Hardware, Software, Data considerations and the Connectivity to the service consumers are which should be included when developing the scope of DRP | a. True
QN=17 BIA has overall how many steps? | a. 7
QN=18 Once a DRP has been created, it's not necessary to update it. | a. False
QN=19 You can get Group Policy setting once to restrict _________ or unsigned ActiveX controls on all user systems. | a. Execution of scripts
QN=20 The last phase of a computer forensics investigation: | a. Analyze the evidence
Which of the following information is not provided by threat model ? | Threat controls
Which of the following is the most serious attacker | Disgruntled employees
Which of the following is the defacto standard of best practices for IT service management. It was created because of the increased dependence on information technology to meet bussiness needs | NIST SP 53
Steps to harden a server include: | Reduce the attack surface, Keep system up to date, Enable Firewalls, Enable IDSs
