1-what is the complex descriptive conceptual model? | stochastic
A company can have two sets of enterprise security polices, if necessary, to address the needs of individual business units. | False
Which of the following is the best measure of success for a security policy? | Reduction in risk
An IT policy framework charter includes which of the following? | A, B, C, and D
Which of the following is the first step in establishing an information security program? | Adoption of an information security policy framework or charter
Which of the following are generally accepted and widely used policy frameworks? (Select three.) | COBIT - ISO/IEC 2 7002 - NIST SP 800-53
Security policies provide the "what" and "why" of security measures. | True
_______ are best defined as high-level statements, beliefs, goals, and objectives. | Policies
Which of the following is not mandatory? | Guideline
Which of the following includes all of the detailed actions and tasks that personnel are required to follow? | Procedure
Risk management is the process of reducing risk to an acceptable level. | True
List the five tenets of information assurance that you should consider when building an IT policy framework _______. | Confidentiality, integrity, availability, authorization, and nonrepudiation
Preservation of confidentiality in information systems requires that the information not be disclosed to _______. | Unauthorized persons or processes
When building a policy framework, which of the following information systems factors should be considered? | A, B, C, D, and E
When writing policies and standards, you should address the six key questions who, what, where, when, why, and how. | True
All policy and standards libraries follow a universal numbering scheme for consistency between organizations. | False
Guideline documents are often tied to a specific control standard. | True
Which of the following is not an administrative control? | Logical access control mechanisms
Which of the following are common steps taken in the development of documents such as security policies, standards, and procedures? | Initiation, evaluation, development, approval, publication, implementation, and maintenance
Which departments should review policies and standards before official approval? (Select four.) | Technical Legal HR Audit
Controls are implemented to do which of the following? | Protect systems from attacks on the confidentiality, integrity, and availability of the system.
Which type of control is associated with responding to and fixing a security incident? | Corrective ( khac phuc)
List examples of physical security control items. _______ | fences, security guards, locked doors, motion detectors, and alarms
Security _______ are the technical implementations of the policies defined by the organization. | Procedures
A(n) _______ is a plan or course of action used by an organization to convey instructions from its senior-most management to those who make decisions, take actions, and perform other duties on behalf of the organization. | Policy
The principle that states security is improved when it is implemented as a series of overlapping controls is called _______ | Defense in depth
Security principles are needed in the absence of complete information to make high-quality security decisions. | True
"Access to all Organization information resources connected to the <Organization> network must be controlled by using user IDs and appropriate authentication" is a statement you might find in a procedure document. | False
Which of the following does a policy change control board do? (Select two.) | Assesses recommendations for change , Reviews  framework
The security committee is the key committee for the CISO. | True
Which of the following is not an IT security policy framework? | ERM
Which of the following are PCIDSS network requirements? | All of the above
Which of the following are common IT framework characteristics? | All of the above
Which of the following applies to both GRC and ERM? | Defines an approach to reduce risk
The underlying concept of SOD is that individuals execute high-risk transactions as they receive pre-approval. | False
A risk management and metrics team is generally the first team to respond to an incident. | False
Which of the following approves business access to data? | Data steward
Which of the following is not a key area of improvement noted after COBIT implementation? | Decentralization of the risk function
A security team's organizational structure defines the team's _______. | Priorities or specialties
Implementing a governance framework can allow an organization to systemically identify and prioritize risks | True
The more layers of approval required for SOD, the more _______ it is to implement the process. | Expensive or burdensome
Monitoring detects which of the following? | A and B
All organizations should have a full-time team dedicated to collecting, reviewing, and reporting to demonstrate adherence to regulations. | False
Pretexting is when a hacker breaks into a firewall. | False
What can keylogger software capture? | All of the above
You can use a _______ process to grant temporary elevated rights. | Firecall-ID
Security awareness is required by which of the following? | Law
A(n) _______ looks at risk and issues an independent opinion. | Auditor
A privileged-level access agreement (PAA) prevents an administrator from abusing elevated rights. | False
Which of the following does an acceptable use policy relate to? | Users accessing the Internet
A(n) _______ has inside information on how an organization operates. | Insider
Social engineering occurs when a hacker posts her victories on a social Web site. | False
Typically in large organizations all administrators have the same level of authority. | False
A CISO must _______ risks if the business unit is not responsive. | Escalate
The steps to implement security controls on a firewall would be documented within which of the following? | Procedure
A DMZ separates a LAN from which of the following? | Internet
Visitor control is an aspect of which of the following? | Physical security
Which of the following can you use to segment LANs? | Routers and firewalls
5)	Without a policy that leads to controls that restrict employees from installing their own software on a company workstation, a company could suffer which of the following consequences? | All of the above
6)	Good sources for security policies and standards include which of the following? | All of the above
7)	Two-factor authentication is a typical control used by employees to remotely access which of the following? | LAN
8)	Which document outlines the specific controls that a technology device needs to support? | Baseline standard
9)	The User Proxy control standard is needed for the _______ domain. | LAN to WAN
10)	The content for the documents in the policies and standards library should be written so they are _______ and _______. | Cohesive, coherent
11)	Production data should be sanitized before being used in a test environment. | True
12)	Organizations should always create new policies tailored to their needs rather than adopt industry norms found on the Internet. | False
1)	Which of the following is not a common need for most organizations to classify data? | Sell information
2)	Authorization is the process used to prove the identity of the person accessing systems, applications, and data. | False
3)	You need to retain data for what major reasons? | All of the above
4)	What qualities should the data owner possess? | All of the above
5)	In all businesses you will always have data that needs to be protected | True
6)	Risk exposure is best-guess professional judgment using a qualitative technique. | False
7)	The lowest federal government data classification rating for classified material is _______. | Confidential
8)	Federal agencies can customize their own data classification scheme. | False
9)	A BIA identifies which of the following? | All of the above
10)	A BIA is not required when creating a BCP. | False
11)	What does RTO stand for? | Recovery time objective
12)	A man-made disaster is easier to plan for than a natural disaster. | False
13)	Data in transit refers to what type of data? | Data traversing a network
14)	Encryption protects data at rest from all type of breaches. | False
1)	All incidents regardless of how small should be handled by an incident response team. | False
2)	Which of the following should not be in an information response team charter? | Detailed line budget
3)	Which of the following IRT members should be consulted before communicating to the public about an incident? | All of the above
4)	As defined by this chapter, what is not a step in responding to an incident? | Creating a budget to compare options | Analyzing an incident response
5)	A method outlined in this chapter to determine if an incident is major or minor is to classify an incident with a _______ rating. | Severity
6)	When containing an incident, you should always apply a long-term preventive solution. | False
7)	The IRT starts recording events once an _______. | Incident is declared
8)	During the containment step, you should also gather as much evidence as reasonably possible about the incident. | True
9)	To clean up after an incident, you should always wipe the affected machine clean and rebuild it from scratch. | False
10)	What value does a forensic tool bring? | All of the above
11)	How important is it to identify the attacker before issuing a final IRT report? | Moderately important; nice to have but issue the report if not available
12)	When analyzing an incident, you must try to determine which of the following? | All of the above
13)	Which IRT member is responsible for handling the media? | Public relations
14)	It is a best practice to test the IRT capability at least once a year. | True
15)	A federal agency is not required by law to report a security incident. | False
1)	Which of the following indicate that the culture of an organization is adopting IT security policies? | All of the above
2)	Effective security policies require that everyone in the organization be accountable for policy implementation. | True
3)	A quick indicator of whether a risk committee has discussed security policies or if the topic has been delegated to lower levels is by looking at _______. | Committee meeting minutes
4)	Deliberate acts and malicious behavior by employees are easy to control, especially when proper deterrents are installed. | False
5)	Which of the following is not an organizational challenge when implementing security policies? | Tight schedules
6)	Which type of plan is critical to ensuring security awareness reaches specific types of users? | Rollout plan ( trien khai)
7)	Why should a security policy implementation be flexible to allow for updates? | A and C
8)	Which of the following is the least objectionable when dealing with policies in regards to outdated technology? | Write security policies to best practices and issue a policy waiver ( tu bo) for outdated technology that inherently cannot comply.
9)	What is a strong indicator that awareness training is not effective? | Sharing your password with a supervisor
10)	Which of the following is a common cause of security breaches? | Inadequate management and user decisions
11)	Classroom training for security policy awareness is always the superior option to other alternatives, such as online training. | False
12)	To get employees to comply and accept security policies, the organization must understand the employees' _______ | Motivation for needs
13)	A brown bag session is a formal training event with a tightly controlled agenda. | False
14)	What is the best way to disseminate a new policy? | Intranet
15)	Without _______, implementation of IT security policies is impossible. | Excutive support
1)	Which of the following is not an organizational gateway committee? | Internal connection committee
2)	_______ often focuses on enterprise risk management across multiple lines of business to resolve strategic business issues. | Executive management
3)	The security compliance committee has one role, which is to identify when violations of policies occur. | False
4)	Which of the following is not an access control? | Decryption
5)	In which of the following areas might a company monitor its employees' actions? | All of the above
6)	_______ establish how the organization achieves regulatory requirements. | Security policies
7)	Laws define the specific internal IT processes needed to be compliant. | False
8)	What is not required in modern-day CISO positions? | Needs to have strong law enforcement background
9)	What is an example of a manual control? | A and C
10)	Which of the following is not a reason to monitor employee computer activity? | Finding out whom the employee knows
11)	Connecting a personal device to the company network can create legal implications. | True
12)	Line management does which of the following to make policies operational? | All of the above
13)	The major challenge in implementing automated security controls is in the deployment of the control. | True
14)	Which of the following is not reviewed when monitoring a user's e-mail and Internet activity? | Network performance
1)	A _______ is a starting point or standard. Within IT, it provides a standard focused on a specific technology used within an organization. | Baseline
2)	An operating system and different applications are installed on a system. The system is then locked down with various settings. You want the same operating system, applications, and settings deployed to 50 other computers. What's the easiest way? | Imaging
3)	After a set of security settings has been applied to a system, there is no need to recheck these settings on the system. | False
4)	The time between when a new vulnerability is discovered and when software developers start writing a patch is known as a _______. | Vulnerability windows or security gap
5)	Your organization wants to automate the distribution of security policy settings. What should be considered? | All of the above
6)	Several tools are available to automate the deployment of security policy settings. Some tools can deploy baseline settings. Other tools can deploy changes in security policy settings. | True
7)	An organization uses a decentralized IT model with a central IT department for core services and security. The organization wants to ensure that each department is complying with primary security requirements. What can be used to verify compliance? | Random audits
8)	Change requests are tracked in a control work order database. Approved changes are also recorded in a CMDB. | True
9)	An organization wants to maintain a database of system settings. The database should include the original system settings and any changes. What should be implemented within the organization? | Configuration management
10)	An organization wants to reduce the possibility of outages when changes are implemented on the network. What should the organization use? | Change management
11)	Which NIST standard was developed for different scanning and vulnerability assessment tools, and comprises six specifications including XCCDF? | SCAP
12)	Microsoft created the Web-Based Enterprise Management (WBEM) technologies for Microsoft products. | False
13)	Which of the following specifications is used exclusively in Microsoft products to query and configure systems in the network? | WMI
14)	Which of the following is used to manage and query network devices such as routers and switches? | SNMP
15)	A _______ can be used with a downloaded file. It offers verification that the file was provided by a specific entity. It also verifies the file has not been modified. | Digital signature
