Which of these following items are benefits of E-Learning? Hint: choose multiple answers (3) | ,lower cost,greater flexibility,more effective learning
CustomInk is a Virginia-based online retail company that enables customers to design and order custom apparel such as t-shirts and sweatshirts. Customers can upload their own art, or use the site's design tools to create a design and order the customized product. See figure Which of the following item(s) are benefits of their E-Commerce? Hint: choose multiple answers (3) | ,Website allows people to choose from CustomInk's design ideas, clipart, fonts and colors, or upload their own images to be printed on items including apparel, bags, drinkware and office supplies.,Artists review each design, and email the customer a picture proof of how the design will print.,Depending on the desired quality and quantity of the item, their staffs performs screen printing, digital printing, and embroidery services.
Wal-Mart and Levi Strauss collaborate on demand forecasting in order to optimize the flow of materials along the supply chain. This is an example of _____________ | Collaborative Planning, Forecasting and Replenishment (CPFR)
Marketing that takes place without the help of intermediaries is called: | direct marketing.
Which of the following content is NOT the benefits of E-Government? Commonwealth: khu v?c th?nh vu?ng | Reduced access to information. It reduces a greater amount of information to businesses and provides it in a more organized and accessible manner.
In direct marketing: | sales are made in malls only.
A marketer that uses e-mail to advertise to potential customers is called a: | viral marketer.
An e-tailer uses cookies to identify returning customers and to provide suggested products for purchase based on prior shopping behavior. This is an example of _________ | personalization
Banner advertising on Web sites helps trigger a realization that there is a gap between reality and a desired state, which occurs in the __________ stage of the EC purchase decision-making process. See figure | need identification
Social class, lifestyle, personality, and activities are descriptors used in ___________ market segmentation. demographic: nhn kh?u h?c psychographic: tm l h?c | psychographic
Web analytics and mining tools and services: mining (n): khai ph d? li?u clickstream (n): kch chu?t merchandisers (n): mua hng | offer advanced functions that help marketers decide which products to promote, and merchandisers achieve a better understanding of the nature of demand.
Companies that use an intermediary to do their buying and selling tend to be: | low on supply chain power and low on buying/selling capabilities
When planning, designing and implementing integrated supply chain operations, management requires a holistic focus that takes account all of the following primary factors EXCEPT: | location and revenues.
Dells cornerstone business model is based on the concept of: | build-to-order which allows customers to configure their own customized systems.
_____________ refers to the buying and selling of goods and services; servicing of customers; collaborating with business partners; and conducting electronic transactions within an organization. | E-business
EC can take several forms depending on the degree of digitization of the following three dimensions ___________ | the product or service sold, the process, and the delivery method.
Purely physical companies are referred to as ____________ companies, whereas companies that are engaged only in EC are considered ________________ companies. | brick-and-mortar; virtual
The ways in which EC is done include ______________________ | the Internet, value-added networks, on local area networks using intranets, or on a single computerized machine.
_______________ are systems where only routine transaction processing and information flow take place between two or more organizations using a standard protocol, such as electronic data interchange (EDI). | Interorganizational information systems
Intrabusiness EC is usually performed over intranets and/or _______________. | corporate portals
A technology that is used to electronically transfer routine documents, such as invoices and purchase orders, and for financial transactions is ___________. | Electronic data interchange
The major __________ e-marketplaces are storefronts and Internet malls. | B2C
_______________ are online markets owned and operated by a single company and may be either sell-side or buy-side. | Private e-marketplaces
A(n) ____________ is an order-processing technology that allows customers to accumulate items they wish to buy while they continue to shop. | Electronic shopping cart
An auction in which there is one buyer and many potential sellers; or in which a buyer places an item for bid on an RFQ system and the lowest bid wins is referred to as all of the following EXCEPT: | Reverse auctions.
What is a benefit of e-auctions to sellers? | The optimal price is determined by the market.
Organizations are embracing mobilized computing technologies for several reasons EXCEPT: | Wireless security problems have been solved with encryption.
The type of e-auction is based on__________________ | demand and supply relationship
A(n) _____________ is a single point of access through a Web browser to help users find relevant and accurate business information and reduce information overload. | information portal
The HotDeal.vn, MuaChung.vn websites are examples of _______________ | B2B2C model
To be successful and useful, large e-catalogs need a(n) __________________. | search engine
Transaction fees model | 1400712639097
Subscription model | 1400712643513
Advertisement model | 1400712649430
Affiliate model | 1400712654817
Sales model | 1400712659179
In EC Framework, which of the following items are belong to infrastructure layer? Hint: choose multiple answers (2) | ,Security,Messaging and information distribution
See the figure and choose the right options to fill in blank A and B | A is Infrastructures and B is Support services
Search engine optimization (SEO) is the process of affecting the visibility of a website or a web page in a search engine's unpaid results - often referred to as "natural," "organic," or "earned" results. In general, the earlier (or higher ranked on the search results page), and more frequently a site appears in the search results list, the more visitors it will receive from the search engine's users. Which of the following category SEO is belonged to? | Marketing and advertising
Choose the right type of E-Commerce based on the following statement: "The e-commerce activities conducted in social networks and/or by using social software (i.e., Web 2.0 tools)" | s-commerce
In E-Commerce, what does PKI stand for? Hint: capitalize the first letter of each word (e.g. NIC you need to enter Network Interface Card only) | Public key infrastructure
The technology platform to keep every online transaction secured is _______________ | PKI
In digital signature, which of the following encryption algorithm is applied? | RSA
According to Peter Drucker, e-commerce is profoundly changing markets, industry structures, products and services, consumer segmentation, consumer values and consumer behavior; jobs, and labor markets. | True
By purchasing a textbook from Amazon.com and having the merchandise physically delivered, Amazon.com would be considered a click-and-mortar organization because pure EC did not occur. | True
In the field, a sales representative writes notes with a mobile handwriting-recognition computer immediately after a sales call. This can be viewed as an EC activity. | False
In addition to EC being conducted via the Internet, EC can be conducted over local area networks (LANs). | True
An example of business-to-consumer (B2C) is when Dell provides customer service online by collaborating electronically with its partners. | False
An internal corporate network that uses Internet tools, such as Web browsers, is known as an intranet. | True
An extranet is a network that uses the Internet to link together multiple intranets. | True
Purchasing a Dell computer online for use at home is an example of e-tailing. | True
Networked computing connects multiple computers and other electronic devices that are located in various locations by telecommunications networks, including wireless ones. | True
When Dell purchases Godiva chocolates as gifts for its employees and has Godiva mail them directly to the recipient Dell is engaged in B2B2C. | True
Peer-to-peer (P2P) technology can be used in C2C, B2B, and B2C. | True
The final participants in B2B transactions are consumers. | False
Doing your banking on an Internet-enabled cell phone is an example of m-commerce. | True
Despite the many e-tailing EC companies that have failed in the past, the dot-com failure rate has recently declined sharply. | True
Since 2001, no other company has had more of an impact on EC than MySpace. | False
Wikipedia.com, a Web site that allows people to work together online and share information, is an example of Web 2.0. | True
The digital economy refers to an economy based on digital communication networks, computers, software, and other related information technologies that provide a global platform over which people and organizations interact, communicate, collaborate, and search for information. | True
Economic, legal, societal, and technological factors have created a highly competitive business environment in which customers are becoming less powerful. | False
Strong competition and increased power of consumers are two of the major market pressures in todays business environment. | True
Business models are a subset of a business plan or business case and refer to methods of doing business by which a company can generate revenue. | True
A business model outlines how the organization or the EC project will generate revenue through sales, transaction fees, advertising fees, affiliate fees, or other revenue sources. | False
Social networks, such as Facebook, YouTube, and MySpace, are Web sites that connect people with specific interests by providing free services such as photo sharing, e-mail, and blogging. | True
Many companies used a corporate portal, which is a gateway for customers, employees, and partners to reach corporate information and communicate with the company. | True
EC can take several forms depending on the degree of digitization of the following three dimensions: | the product or service sold, the process, and the delivery method.
The ways in which EC is done include: | the Internet, value-added networks, on local area networks using intranets, or on a single computerized machine
A business such as Apple Computers making online transactions with its trading partners is an example of: | B2B
EC applications are supported by infrastructure and by each of the following support areas EXCEPT: | Mobile devices
Challenges that Boeing faced with its global collaboration for the design and assembly process of its new Dreamliner passenger plane included each of the following EXCEPT: | Lag time
A large number of EC companies, especially e-tailing and B2B ones, failed from 1999 to 2005 for each of the following reasons EXCEPT: | The companies failed to register with search engines, such as Google.
refers to the second-generation of Internet-based services that let people collaborate and share information online in new ways, such as social networks and wikis. | Web 2.0
Which of the following is not a characteristic of the Digital Revolution? | Many business processes are expedited by up to 50 percent.
Because the rate of change and the level of uncertainty are expected to accelerate, organizations are | operating under increasing pressures to produce more products, faster, and with fewer resources.
According to the Business Environment Impact Model, ___________ provide support to organizations activities and to actual performance, countering business pressures. | EC and IT
A ____________ is a companys method of doing business to generate revenue to sustain itself. | business model
According to the __________________ revenue model, companies receive commissions for referring customers to others EC Web sites. | affiliate fees
According to the __________________ revenue model, customers page a fixed amount, usually monthly, to receive some type of service. | subscription fees
Large private organizational buyers and government agencies make large-volume or large-value purchases through ____________________, also known as reverse auctions. | electronic tendering systems
According to the _____________ model, an organization can increase brand awareness or even generate sales by Web-based word-of-mouth marketing or promoting a product or service to other people. | viral marketing
Online group purchasing organizations are known as: | e-co-ops
Major barriers to EC include all of the following EXCEPT: | lack of technology
Which of the following is a technological limitation of EC? | Order fulfillment requirements of large-scale B2C.
A job opening in the Sales Department posted on the company's Intranet by the Human Resources Department is an example of: | B2E
Boeing designing a product together with a business partner is this type of interaction: | Collaborative Commerce
A corporation uses the Internal Revenue Service's Web site to learn how to pay its estimated quarterly income taxes. This is an example of: | G2B
The second-generation of Internet-based services that lets people collaborate and share information online is known as Web 2.0. An example of this is: | blogging
The digital enterprise shifts the focus from managing individual information resources such as devices, applications, and data to ________________ that define the business and ultimately deliver value to customers and end users. | orchestrating the services and workflows
Many companies employ a(n) ________________, which is a gateway for customers, employees, and partners to reach corporate information and to communicate with the company. | corporate portal
is the process of buying, selling, or exchanging products, services, or information via computer networks. | Electronic commerce
refers to a broad range of business activities that includes not just the buying and selling of goods and services, but also servicing customers, collaborating with business partners, and conducting electronic transactions within an organization | E-business
are organizations that conduct their business activities solely online. | Virtual (pure-play) organizations
are those that conduct some EC activities, usually as an additional marketing channel. | Click-and-mortar (or click-and-brick) organizations
EC can be conducted in an ... where buyers and sellers meet online to exchange goods, services, money, or information. | electronic market (e-marketplace)
is a corporate or government network that uses Internet tools, such asWeb browsers, and Internet protocols. | intranet
is a network that uses the Internet to link multiple intranets. | extranet
An EC model in which all of the participants are either businesses or other organizations is | business-to-business (B2B) e-commerce.
is an EC model in which businesses sell to individual shoppers. | Business-to-consumer (B2C)
is an EC model in which a business provides some product or service to a client business that maintains its own customers | Business-to-business-to consumer (B2B2C)
is an EC model in which EC transactions and activities conducted in a wireless environment. | Mobile commerce (m-commerce)
refers to M-commerce transactions targeted to individuals in specific locations, at specific times. | Location-based commerce (l-commerce)
is an E-commerce category that includes all internal organizational activities that involve the exchange of goods, services, or information among various units and individuals in an organization. | Intrabusiness EC
technology enables networked peer computers to share or swap data files, music, videos, software, and processing with each other directly. | Peer-to-peer (P2P)
is a public electronic market with many buyers and sellers. | exchange
Since 2001, no other company has had more of an impact on EC than | Google.
was coined by OReilly Media in 2004 to refer to a supposed second generation of Internet-based services that let people collaborate and share information online in new ways, such as social networking and wikis. | Web 2.0
chips are tiny tags can be implanted into humans or attached to products for tracking and identification purposes. | Radio frequency identification (RFID)
is a method of doing business by which a company can generate revenue to sustain itself. | business model
is the rapid production of customized products or services at a reasonable cost for a large number of customers. | Mass customization
is a description of how a company or an EC project will generate revenue. | revenue model
refers to the benefits, including the intangible, nonquantitative ones, that a company can derive from using EC. | value proposition
which involve bundling some goods and services together to provide more value than from offering them separately. | complementarities
is an arrangement whereby a marketing partner or individual refers consumers to the selling companys Web site. | Affiliate marketing
is a gateway through which employees, business partners, and the public can enter a corporate Web site. | corporate portal
The functions and efficiency of an e-market are the same as that of a physical marketplace. | False
The emergence of electronic marketplaces has resulted in lower information search costs for buyers and lower transaction and distribution costs for sellers. | T
Although both marketplaces and marketspaces can sell physical products, the marketspace also can sell digital products, which are goods that can be transformed to digital format and delivered instantly over the Internet. | T
Front end refers to the activities that support online order fulfillment, inventory management, purchasing from suppliers, payment processing, packaging, and delivery. | F
In marketing, an intermediary is a third party that operates between sellers and buyers. Intermediaries of all kinds offer their services on the Web. | T
WebMD, which is the largest U.S. medical services company, is known mainly for its webmd.com consumer portal, but its core business is being an e-intermediary. | T
The major B2B e-marketplaces are electronic storefronts, Internet malls, and exchanges. | F
A portal is an information gateway that attempts to address information overload by enabling people to search and access relevant information from disparate IT systems and the Internet, using advanced search and indexing techniques, such as Googles desktop. | T
Intermediaries are human or electronic agents that play an important role in EC by providing value-added services such as making payment arrangements to buyers and sellers. | T
Travelers using airline Web sites to book their flights directly without the use of travel agents is resulting in the reintermediation of travel agents. | F
Search engines not only search and match, but also have capabilities that can be used to perform routine tasks that require intelligence. | F
An electronic shopping cart is an order-processing technology that allows customers to accumulate items they wish to buy while they continue to shop. | T
Shopping carts for B2B are fairly simple, but a shopping cart for B2C may be more complex. | F
An auction is a competitive process and market mechanism that uses a competitive process by which a seller solicits consecutive bids from buyers or a buyer solicits bids from sellers. | T
Negotiation and bargaining are two types of auctions where prices are not fixed, but rather are allowed to fluctuate as market supply and demand change. | F
Reverse auctions are bidding or tendering systems in which the buyer places an item for bid on a request for quote (RFQ) system; then potential suppliers bid on the job, with the price reducing sequentially, and the lowest bid wins. | T
E-auctions are becoming less important selling and buying channels for companies and individuals | F
The major limitations of e-auctions are insufficient security, risk of fraud, and a limited pool of participants | T
A limitation of e-bartering for businesses is that excess capacity items such as office space, storage, factory space; idle facilities; and labor cannot be bartered. | F
Online negotiation can be facilitated by computer technology for the negotiation process and software agents for searches and comparisons. | T
Fundamentally, the success of the pure-play jewelry e-tailer Blue Nile was due to the companys use of Internet technologies to: | offer lower prices than competitors
Traditional and electronic markets have three main functions, which include each of the following EXCEPT: | transforming raw materials into finished products.
Digital products have different cost curves than those of regular products because: | in digitization, most of the costs are fixed, and variable costs are very low.
The portion of an e-sellers business processes through which customers interact, including the sellers portal, electronic catalogs, a shopping cart, a search engine, and a payment gateway is referred to as the _____________ of the business. | front end
All the activities that are related to order aggregation and fulfillment, inventory management, purchasing from suppliers, accounting and finance, insurance, payment processing, packaging, and delivery are done in what is termed the_______ of the business. | back end
An electronic storefront includes several mechanisms that are necessary for conducting the sale. The most common mechanisms include each of the following EXCEPT: | a supply chain
Finding relevant and accurate information is often time-consuming and requires access to multiple systems causing organizations to lose a lot of productive employee time. One solution to this problem is the use of: | portals.
A type of broker that helps consumers compare different stores is a: | shopping facilitator.
Human or electronic intermediaries attempt to address each of the following limitations of direct interaction EXCEPT: | product distribution.
The elimination of various types of agents that mediate between buyers and sellers, such as travel and insurance agents, is referred to as: | disintermediation
A mode is purchasing where prices are negotiated or discounted is ________________, which refers to nonfixed prices, such as those in auctions or stock markets. | dynamic pricing
Although used occasionally in B2C commerce, customized catalogs are especially useful in B2B e-commerce for each of the following reasons EXCEPT: | Intranets, in particular, can deliver customized catalogs to different business customers.
A ____________ has capabilities that can be used to perform routine tasks that require intelligence such as providing customers with assistance based on their movements on a Web site | software agent
Popular search engines include all of the following EXCEPT: | MSN
EC competition is very intense because online transactions enable each of the following EXCEPT: | Higher prices because of a greater number of potential buyers.
Which of the following statements about differentiation and personalization is not correct? | Products must be differentiated for perfect competition.
It can be said that competition between companies is being replaced by competition between ___________ . | networks
The Internet has influenced industry structures in each of the following ways EXCEPT | Increases differences among competitors whose offerings are kept proprietary.
Impacts of e-marketplaces on B2C direct marketing include all of the following EXCEPT: | Brand images for new companies have become more difficult to establish.
One of the major benefits of e-markets is the improvement in supply chains with the creation of a(n) _____________________. | hub-based chain
______________ provides customers with exactly what they want, when and where they want it. Effective communication between the supply chain and the factory floor is needed to make it happen | Demand-driven manufacturing
is a virtual marketplace in which sellers and buyers meet and conduct different types of transactions | e-marketplace
is a marketplace in which sellers and buyers exchange goods and services for money or for other goods and services, but do so electronically. | marketspace
is typically a third party that operates between sellers and buyers | intermediary
is the portion of an e-sellers business processes through which customers interact, including the sellers portal, electronic catalogs, a shopping cart, a search engine, and a payment gateway. | front end
refers to a single companys Web site where products and services are sold. | storefront
are online markets owned and operated by a single company. | Private e-marketplaces
is a single point of access through a Web browser to critical business information located inside and outside of an organization | information portal
are portals that offer fairly routine content for broad audiences and are the most popular portals on the Internet; e.g., yahoo.com, aol.com, and msn.com. | Commercial (public) portals
E-marketplaces, especially for B2B and mega B2C such as Amazon.com may be plagued by | information overload
In cyberspace, there are intermediaries that provide and/or control information flow. These electronic intermediaries are known as | infomediaries.
is a company that facilitates transactions between buyers and sellers. | broker
is the elimination of intermediaries between sellers and buyers. | Disintermediation
is a computer program that can access databases of Internet resources, search for specific information or keywords, and report the results | search engine
refers to prices that are not fixed, but that are allowed to fluctuate as supply and demand in a market change | Dynamic pricing
refers to the conduct of e-commerce via wireless devices or from portable devices. | Mobile commerce
is an m-commerce application targeted to a customer whose preferences and needs and location (e.g., using GPS) are known in real time. | Location-based commerce
Because of these interrelationships, the business model of the Internet economy has been called the | Internet ecosystem
involves providing a product or service that is unique and not available elsewhere | Differentiation
is a model devised by Porter that says that five major forces of competition determine industry structure and how economic value is divided among the industry players in an industry; analysis of these forces helps companies develop their competitive strategy. | competitive forces model
offer two-way video, on-the-fly interaction, and application sharing. Such systems provide for interactive remote instruction systems, which link sites over a high-speed intranet. | E-learning systems
The amount and percentage of goods and services sold on the Internet is increasing rapidly, despite the failure of many dot-com companies. | T
A retailer is a sales intermediary, a seller that operates between manufacturers and customers. | T
Consumer electronics, including cell phone sales, are the largest category of online retail. | F
Jewelry sales over the Internet is just beginning, but could be one of the top sellers on the Internet in the near future. | F
Offline transactions are somewhat influenced by research conducted online, with approximately one-third of online shoppers reporting that they used the Internet to research and influence their offline shopping choices. | F
Evidence indicates that the basic principles that apply to retail success do not apply to e-tail success. | F
Offering quality merchandise at good prices, coupled with excellent service, and cross-channel coordination and integration in which customers can almost seamlessly operate between the online and physical environments of a business are also important elements in successful e-tailing. | T
Goods with the following characteristicguarantee provided by highly reliable or well-known vendorsare expected to facilitate higher sales volumes. | T
A business model is an analysis of the organizations customers and, from that, a discussion of how that organization will achieve profitability and sustainability by delivering goods and services to those customers. | T
Direct marketing describes marketing that takes place offline between manufacturers and retailers. | F
Virtual or pure-play e-tailers are firms that sell directly to consumers over the Internet without maintaining a physical sales channel. | T
