Which of the following is NOT a potential security issue with respect to the Linux GUI? | Linux GUI applications can be assessed over an SSH connection.
Which of the following is NOT a standard open source option for SMTP e-mail services? | Dovecot
Which of the following is an open source license? | GNU GPL
Which of the following commands can be used to revise expiration information on a user password | chage
Which of the following PolicyKit commands can be used to identify user logins by session? (select 2) | ck-history and ck-list-sessions
From the following answers, what is NOT addressed by TPM chip? | KVM virtual machines
From the following list, which is a system management tool for Linux? | Landscape
Which of the following statements is NOT true about a live CD distribution? Assume your system can boot from appropriate locations. | It automatically installs that Linux distribution on your system.
What is an entry-level security certification offered by ISC | CISSP
which command changes file ownership in Linux | chown
Which of the following command sets the SUID bit on the file named filename | chmod 4555 filename
Which of the following commands prohibits access from all users except the user owner and member of the group that owns the file named filename | chmod 770 filename
Enter the command on Red Hat distributions that includes the defaults status of services with /etc/init.d/ scripts at each run level: | chkconfig --list
If you try to change files remotely on a shared NFS directory as the root administrative user, what happens | The chang fails, because the root user on one system is the nobody user on another system
Which of the following components make up the core of the Linux operating system? | The kernel
Which of the following OSSTMM channels is associated with wireless security? | SPECSEC
The GRUB 2.0 menu is hidden during the boot process. Which of the following keys, when pressed at the appropriate time, reveals the menu? | Shift
Which of the following kernel types is most likely to address the most RAM? | Server
Which of the following options is NOT used to block access form certain IP address? | SELinux
Your Lan is on the 192.168.0.0/24 network. Which of the following virtual machine network options give local virtual machines addresses on that network | Bridged
Which of the following authentication tools work locally? | PAM

 | \
Which of the following terms is associated with malicious users in the open source community? | Crackers
Which of the following options in a log configuration file collects information on login attempts and failures? | auth
Which of following packages implements TPM support on Linux? (select 2) | tpm-tools and trousers
Which of the following statements best describes the role of mandatory access controls? | They protect other services after a security breach in an account.
From the following options, select a security advantage of open source software | The efforts of the open source community
Which of the following PAM modules is least related to login information? | session
Which of the following special permissions is ascociated with a shared directory? That directory is not accessible to others who are not members of the group owner of that directory | SGID
the linux open source license allows anyone to use, modify, and improve the ____ | source code
The theory of configuring a bastion host is one in which the server has: | A specific function and minimal services installed to provide its designated services
which method is preferable for securing access in the Remote Access Domain? | SSH
Which of the following commands only requires the password of a configured standard user | sudo
A file with the ___ bit allows other users to run that command | SUID
Which of the following commands may not be used instead of shutdown in certain circumstances (with appropriate options added to one or the other command) | takedown
You want to change to single-user mode on a running system. What command might you use to do this? | telinit 1
What is the purpose for which the following iptables is used: iptables -I INPUT -m state --state -m tcp -p tcp --dport 22 -j ACCEPT | to allow allincoming connectiosn to port 22 by inserting the rules at the top of the chain
From Vi's command mode, you want to enter insert mode. How might you do this? | Type R. Type i. Type a.
Which of the following is a difference between security vulnerabilities associated with open source software and proprietary software ? | Typically, open source software vulnerabilities are immediately made public
which of the following commands can automatically detect dependencies during software install? | YUM
Which of the following is a protocol that supports remote login access to a GUI system | XDMCP
which of the following commands is used to edit the /etc/sudoers file? | visudo
Enter the ____ command to open and edit the /etc/sudoers file in a command-line console | visudo
What is an advantage of Vi over Emacs? | Vi is smaller and so can fit on compact emergency systems and embedded devices.
Which mounting option will enable user quotas on a filesystem | usrquota
The WINE application is an example of a process that runs in? | User Space
what user account information can be found in the /etc/passwd file | The user's basic information, such as the default login shell.
You type a command into bash and pass a long filename to it, but after you enter the command, you receive a File not found error message because of a typo in the filename. How might you proceed? | Retype the command, and be sure you type the filename correctly, letter by letter; Retype the command, but press the Tab key after typing a few letters of the long filename to ensure that the filename is entered correctly; or Press the Up arrow key, and use bash's editing features to correct the typo.
Which of the following commands is implemented as an internal command in bash? Cat, echo, tee, or sed? | Echo
You type echo $PROC, and the computer replies Go away. What does this mean? | You, one of your configuration files, or a program you've run has set the $PROC environment variable to Go away.
In an xterm window launched from your window manager, you type exec gedit. What will happen when you exit from the gedit program? | The xterm window will close.
What is the surest way to run a program (say, myprog) that's located in the current working directory? | Type ./ followed by the program name: ./myprog.
How does man display information by default on most Linux systems? | Using the less pager
You want to store the standard output of the ifconfig command in a text file (file.txt) for future reference, and you want to wipe out any existing data in the file. How can you do so? | ifconfig > file.txt
What is the effect of the following command?<br>$ myprog &> input.txt | Standard output and standard error from myprog are written to input.txt.
How many commands can you pipe together at once? | An arbitrary number
A text-mode program, verbose, prints a lot of spurious "error" messages to standard error. How might you get rid of those messages while still interacting with the program? | verbose 2> /dev/null
How do the > and >> redirection operators differ? | The > operator creates a new file or overwrites an existing one; the >> operator creates a new file or appends to an existing one.
Which of the following commands will number the lines in aleph.txt? | nl aleph.txt ,c. cat -b aleph.txt ,cat -n aleph.txt
You've received an ASCII text file (longlines.txt) that uses no carriage returns within paragraphs but two carriage returns between paragraphs. The result is that your preferred text editor displays each paragraph as a very long line. How can you reformat this file so that you can more easily edit it (or a copy)? | fmt longlines.txt > longlines2.txt
Which of the following commands will print lines from the file world.txt that contain matches to changes and changed? | grep change[ds] world.txt
Which of the following is not an advantage of a source package over a binary package?< | Source packages can be installed more quickly than binary packages can
Which is true of using both RPM and Debian package management systems on one computer? | It's generally inadvisable because the two systems don't share installed-file database information.
Which of the following statements is true about binary RPM packages that are built for a particular distribution? | They can often be used on another RPM-based distribution for the same CPU architecture, but this isn't guaranteed.
Which of the following commands will extract the contents of the myfonts.rpm file into the current directory? | rpm2cpio myfonts.rpm/cpio -i -make-directories
To use dpkg to remove a package called theprogram, including its configuration files, which of the following commands would you issue? | dpkg -P theprogram
Which of the following describes a difference between apt-get and dpkg? | apt-get can automatically retrieve and update programs from Internet sites; dpkg can't.
What command would you type to obtain a list of all installed packages on a Debian system? | apt-cache pkgnames
As root, you type apt-get update on a Debian system. What should be the effect of this command? | The APT utilities retrieve information about the latest packages available so that you may install them with subsequent apt-get commands.
How should you configure a system that uses Yum to access an additional Yum software repository? | Download a package from the repository site and install it with RPM, or place a configuration file from the repository site in the /etc/yum.repos.d directory.
What is the preferred method of adding a directory to the library path for all users? | Add the directory to the /etc/ld.so.conf file, and then type ldconfig.
what programs might you use to learn what your system's load average is? (Select all that apply.) | uptime and top
Which of the following commands creates a display of processes, showing the parent/child relationships through links between their names? | ps -forest
You use top to examine the CPU time being consumed by various processes on your system. You discover that one process, dfcomp, is consuming more than 90 percent of your system's CPU time. What can you conclude? | Very little; dfcomp could be legitimately consuming that much CPU time or it could be an unauthorized or malfunctioning program.
You type jobs at a bash command prompt and receive a new command prompt with no intervening output. What can you conclude? | No background processes are running that were launched from the shell you're using.
Which of the following are restrictions on ordinary users' abilities to run renice? (Select all that apply.) | Users may not modify the priorities of other users' processes and own processes.
What tool would you use to disable a motherboard's sound hardware if you don't want to use it? | The BIOS
Consider the following entry in /etc/passwd:ksanders:x:1001:100:Kimberly Sanders:/home/ksanders:/bin/bash. What is the primary group for this user | 100
You've just installed Linux on a new computer with a single SATA hard disk. What device identifier will refer to the disk? | /dev/sda or /dev/hda
Which of the following directories is most likely to be placed on its own hard disk partition? | /home
You discover that an MBR hard disk has partitions with type codes of 0�0f, 0�82, and 0�83. Assuming these type codes are accurate, what can you conclude about the disk? | The disk holds a partial or complete Linux system.
What does the following command accomplish?<br># mkfs -t ext2 /dev/sda4 | It creates a new ext2 filesystem on /dev/sda4, overwriting any existing filesystem and data.
Which of the following best summarizes the differences between DOS's FDISK and Linux's fdisk? | The two are completely independent programs that accomplish similar goals, although Linux's fdisk is more flexible
What mount point should you associate with swap partitions? | None. Swap partitions aren't mounted in the way filesystems are, so they have no associated mount points.
Which of the following options is used with fsck to force it to use a particular filesystem type? | -t
What is an advantage of a journaling filesystem over a conventional (non-journaling) filesystem? | Journaling filesystems require shorter disk checks after a power failure or system crash.
Which of the following /etc/fstab entries will mount /dev/sdb2 as the /home directory at boot time?<br> | B. /dev/sdb2 /home reiserfs defaults 0 0
What filesystem options might you specify in /etc/fstab to make a removable disk (USB pen drive, Zip disk, floppy disk, and so on) user-mountable? | user , users, owner
What is the minimum safe procedure for removing a USB flash drive, mounted from /dev/sdb1 at /media/usb, from a Linux computer? | Type umount /media/usb, wait for the command to return and disk activity lights to stop, and then unplug the drive.
You want to use /media/cdrom to access your CD-ROM drive, so you insert a CD-ROM into the drive and type mount /media/cdrom /dev/cdrom as root. You receive the error message /media/cdrom is not a block device. Why did this happen? | The command reverses the order of the CD-ROM device file and the mount point; it should be mount /dev/cdrom /media/cdrom.
What is wrong with the following /etc/fstab file entry? (Select all that apply.)<br>/dev/hda8 nfs default 0 0 | the entry is missing a mount point specification. and /dev/hda8 is a disk partition, but nfs indicates a network filesystem.
You want to discover the sizes of several dot files in a directory. Which of the following commands might you use to do this? | ls -la
You want to move a file from your hard disk to a USB pen drive. Which of the following is true? | The mv command will delete the file on the hard disk after copying it to the pen drive
You've received a tarball called data79.tar from a colleague, but you want to check the names of the files it contains before extracting them. Which of the following commands would you use to do this? | tar tvf data79.tar
You want to create a link from your home directory on your hard disk to a directory on a CD-ROM drive. Which of the following types of links might you use? | Only a symbolic link
What command would you type (as root) to change the ownership of somefile.txt from ralph to tony? | chown tony somefile.txt
Typing ls -ld wonderjaye reveals a symbolic file mode of drwxr-xr-x. Which of the following are true? (Select all that apply.) | C. wonderjaye is a directory , wonderjaye may be read by all users of the system
When should programs be configured SUID root? | Only when they require root privileges to do their job.
Which of the following commands would you type to enable world read across access to the file myfile.txt? (Assume that you're the owner of myfile.txt.) | D. chmod o+r myfile.txt
Which of the following umask values will result in files with rw-r----- permissions? | 640
You see the usrquota and grpquota options in the /etc/fstab entry for a filesystem. What is the consequence of these entries? | Quota support will be available if it's compiled into your kernel, but you must activate it with the quotaon command.
You've installed a commercial spreadsheet program called WonderCalc on a workstation. In which of the following directories are you most likely to find the program executable file?<br>/usr/sbin <br>/etc/X11 <br>/bin <br>/opt/wcalc/bin | The /opt directory tree exists to hold programs that aren't a standard part of a Linux distribution, such as commercial programs. These programs should install in their own directories under /opt; these directories usually have bin subdirectories of their own, although this isn't required. The /usr/sbin directory holds programs that are normally run only by the system administrator, and /bin holds critical basic binary files. The /etc/X11 directory holds X-related configuration files. None of these directories is an appropriate place for a spreadsheet program.
Which of the following file-location commands is likely to take the most time to find a file that may be located anywhere on the computer (assuming the operation succeeds)? | the find command.e where is command
What can the type command do that whereis can't do? | Identify a command as an alias, internal command, or external command
You want to track down all the files in /home that are owned by karen. Which of the following commands will do the job? | find /home -user karen
What can you conclude from the following interaction?<br>$ which man<br>/usr/bin/man | The first instance of the man program, in path search order, is in /usr/bin.
Where might the BIOS find a boot loader? | MBR
You want to boot a Linux system into single-user mode. What might you type at a LILO boot: prompt to accomplish this task? | linux 1
Which of the following is the LILO boot loader configuration file? | /etc/lilo.conf
What should be the first line of a LILO configuration file stanza intended to boot a Linux kernel stored as /boot/bzImage-2.6.26? | image=/boot/bzImage-2.6.26
Which command is used to install GRUB into the MBR of your first ATA hard drive? | grub-install /dev/hda
Which runlevels are reserved by init for reboot, shutdown, and single-user mode purposes? | 0 ,1, 6
You type the following command:<br>$ runlevel<br>5 3<br>What can you tell about your runlevel status? (Select all that apply.) | The current runlevel is 3 ,5
A system administrator types the following command:<br># shutdown -c<br>What is the effect of this command? | A previously scheduled shutdown is cancelled
A. In Vi's command mode, you type :q!. What is the effect? | The program terminates without saving your work.
What is a difference between security vulnerabilities associated with open source software and proprietary software? | Typically, open source software vulnerabilities are immediately made public
Which of the following laws ensure that all U.S.-based financial institutions protect personal financial information of their clients? | GLBA
Which file holds configuration settings for the extended internet super server? | /etc/xinetd.conf
What is the purpose of the following iptables command? iptables -I INPUT -m state -- state -m tcp -p tcp --dport 22 -j ACCEPT | To allow all incoming connections to port 22 by inserting the rule at the top of the chain
Which of the following statements is true about using a mandatory access control system on Linux? | Properly setting up a mandatory access control system requires discipline and configuration knowledge
The well-known TCP/IP port numbers range from 0 to | 1023
From which of the following files does the iptables command read ports of well-known services? | /etc/services
LAMP stands for Linux/Apache/MySQL/P, where the "P" can stand for | All perl, python,php
Which Apache directive specifies an alternative port for Web pages? | listen
Which of the following is an insecure method of remote access? | SSH
In addition to usernames/passwords, SSH can authenticate a user based upon | A passphrase using a public and a private key
Which Linux filesystem format does not include any type of journaling? | ext2
Which filesystem is a good candidate for mounting in read-only mode? | /boot/
An executable file with the _________ bit allows other users to run that command, with the permissions assigned to that user owner. | SUID
Which Linux directive hides or obscures boot messages? | hide
The default mandatory access control system used for Red Hat distributions is | AppArmor/selinux
A discretionary access control for a file is a control mechanism that can be set by | the root user/ the user owner of the file
Which file lists standard ports for many services? | etc/service
Which of the following can you configure as a separate filesystem? | all
Which file permission is not an example of discretionary access control? | boolean
The open source package trousers is associated most closely with | Trusted Platform Module (TPM)
Which directive do you add or enable in the Samba configuration file to prohibit access to the [homes] share by anyone other than the owner? | valid users = %S
which of the following laws ensure that all U.S.-based financial institutions protect personal financial information of their clients | GLBA
which linux directive hides or obscures boot messages | hide
which file lists standard ports for many services | /etc/services
an executable file with the ______bit allows other users to run that command, with the permissions assigned to that user owner | SUID
which of the following can you configure as a separate filesystem | all /boot/,/var/rtp/,/home/user/
what is the purpose of the following iptables command? iptables -I input -m state -- state -m tcp -p tcp --dport 22 -j accept | to allow all incoming connections to port 22 by inserting the rule at the top of the chain
Which of the following commands is implemented as an internal command in bash? | Cat, echo, tee, or sed? Echo
What does the pwd command accomplish? | It prints the name of the working directory.
You want to run an interactive script, gabby, which produces a lot of output in response to the user's inputs. To facilitate future study of this script, you want to copy its output to a file. How might you do this? | gabby tee gabby-out.txt
What program would you use to display the end of a configuration file? | tail
What is the effect of the following command?<br>$ pr report.txt lpr | The file report.txt is formatted for printing and sent to the lpr program.
Which of the following commands will change all occurrences of dog in the file animals.txt to mutt in the screen display? | sed 's/dog/mutt/g' animals.txt
You've received an ASCII text file (longlines.txt) that uses no carriage returns within paragraphs but two carriage returns between paragraphs. The result is that your preferred text editor displays each paragraph as a very long line. How can you reformat this file so that you can more easily edit it | fmt longlines.txt > longlines2.txt
Which of the following regular expressions will match the strings dig and dug but not dog? | d[iu]g
Which of the following is not an advantage of a source package over a binary package? | Source packages can be installed more quickly than binary packages can
An administrator types the following command on an RPM-based Linux distribution:<br># rpm -ivh megaprog.rpm<br> What is the effect of this command? | The megaprog.rpm package, if it exists, is valid, and isn't already installed, is installed on the system.
from a shell prompt you type sudo apt-get update on a debian system. what is the expected effect of this command | The APT utilities retrieve information about the latest packages available so that you may install them with subsequent apt-get commands.
Which of the following commands would you type to update the unzip program on a Fedora system to the latest version? | yum update unzip, yum upgrade unzip
You prefer the look of GTK+ widgets to Qt widgets, so you want to substitute the GTK+ libraries for the Qt libraries on your system. How would you do this? | You can't easily do this; libraries can't be arbitrarily exchanged for one another. You would need to rewrite all the Qt-using programs to use GTK+.
A user types kill -9 11287 at a bash prompt. What is the probable intent, assuming the user typed the correct command? | To terminate a misbehaving or hung program with process ID 11287
Which two of the following commands are equivalent to one another | nice -10 crunch, nice crunch
What are common IRQs for serial ports? | 3,4
What is the purpose of udev? | To manage the /dev directory tree
Which files contain essential system information such as IRQs, DMA channels, and I/O addresses? | /proc/ioports,/proc/dma,/proc/interrupts
Typing fdisk -l /dev/hda on a Linux computer produces a listing of four partitions: /dev/hda1, /dev/hda2, /dev/hda5, and /dev/hda6. Which of the following is true? | Either /dev/hda1 or /dev/hda2 is an extended partition.
A new Linux administrator plans to create a system with separate /home, /usr/local, and /etc partitions. Which of the following best describes this configuration? | The system won't boot because /etc contains configuration files necessary to mount non-root partitions.
You run Linux's fdisk and modify your partition layout. Before exiting the program, you realize that you've been working on the wrong disk. What can you do to correct this problem? | Type q to exit fdisk without saving changes to disk.
What does the following command accomplish? | # mkfs -t ext2 /dev/sda4 It creates a new ext2 filesystem on /dev/sda4, overwriting any existing filesystem and data.
Which of the following pieces of information can df not report? | How long the filesystem has been mounted
Which of the following /etc/fstab entries will mount /dev/sdb2 as the /home directory at boot time? | /dev/sdb2 /home reiserfs defaults 0 0
What is wrong with the following /etc/fstab file entry? <br>/dev/hda8 nfs default 0 0 | The entry is missing a mount point specification, /dev/hda8 is a disk partition, but nfs indicates a network filesystem
You want to move a file from your hard disk to a USB pen drive. Which of the following is true? | The mv command will delete the file on the hard disk after copying it to the pen drive.
You type mkdir one/two/three and receive an error message that reads, in part, No such file or directory. What can you do to overcome this problem? | Add the --parents parameter to the mkdir command. Issue three separate mkdir commands: mkdir one, then mkdir one/two, and then mkdir one/two/three.
Which of the following commands are commonly used to create archive files? | tar, cpio
Typing ls -ld wonderjaye reveals a symbolic file mode of drwxr-xr-x. Which of the following are true? | wonderjaye is a directory, wonderjaye may be read by all users of the system
Which of the following commands can be used to summarize the quota information about all filesystems? | repquota -a
You've installed a commercial spreadsheet program called WonderCalc on a workstation. In which of the following directories are you most likely to find the program executable file? /usr/sbin /etc/X11 /bin /opt/wcalc/bin | The /opt directory tree exists to hold programs that aren't a standard part of a Linux distribution, such as commercial programs. These programs should install in their own directories under /opt; these directories usually have bin subdirectories of their own, although this isn't required. The /usr/sbin directory holds programs that are normally run only by the system administrator, and /bin holds critical basic binary files. The /etc/X11 directory holds X-related configuration files. None of these directories is an appropriate place for a spreadsheet program.
What can you conclude from the following interaction? $ which man /usr/bin/man | The first instance of the man program, in path search order, is in /usr/bin.
After booting, one of your hard disks doesn't respond. What might you do to find out what's gone wrong? | Type dmesg less, and peruse the output for disk-related messages.
Run level _____________ is the normal run level | 3
You type the following command:<br>$ runlevel<br>5 3<br>What can you tell about your runlevel status? | The current runlevel is 3,The previous runlevel is 5
How would you remove two lines of text from a file using Vi? | In Vi, dd is the command-mode command that deletes lines. Preceding this command by a number deletes that number of lines. Although yy works similarly, it copies (yanks) text rather than deleting it. Option C works in many more modern text editors, but not in Vi. Option D works in Emacs and similar text editors, but not in Vi.
In Vi's command mode, you type :q!. What is the effect? | The program terminates without saving your work.
What mount point should you associate with swap partitions? | None
To access files on a USB pen drive, you type mount /dev/sdc1 /media/pen as root. Which types of filesystems will this command mount, provided the filesystem support exists in the kernel | Ext2fs,FAT,HFS
Which of the following /etc/fstab entries will mount /dev/sdb2 as the /home directory at boot time? | /dev/sdb2 /home resierfs defaults 0 0
What filesystem options might you specify in /etc/fstab to make a removable disl (USB pen drive, Zip disk, floppy disk, and so on) user-mountable? | user, users, owner
